EC	log2_fold_change	valor_p_ajustado
3.6.4.12	36.0084801458517	6.19889325502419e-36
2.7.11.1	32.3684123251778	6.20899740466027e-06
2.4.1.324	30.7280315268235	8.184631913127759e-13
2.4.2.41	30.608345794724002	0.002708633984875
1.3.1.42	30.5162075109969	0.002828129871348
1.1.1.331	29.0518647644576	4.8489737264031e-08
3.5.1.23	28.3611180549542	0.000600409615305
1.3.1.75	26.8614288288285	4.25580640252086e-16
1.8.1.4	15.380959101206301	2.8308593675840303e-31
1.8.1.4	14.659916747672698	7.449056364440899e-18
3.5.1.16	13.4653784569359	6.49882506507037e-13
3.2.1.39	12.046093433892699	7.357750406009959e-19
4.3.3.2	11.7828610426046	1.36749366639765e-07
2.7.11.1	11.6723294755745	2.8578116868952002e-05
3.1.13.4	11.448875635087	4.57935508479794e-10
3.4.14.10	11.2524278823528	4.2130333557502995e-08
2.4.1.15,3.1.3.12	11.238630848566599	3.5314935335802205e-09
3.4.22.14	10.959980299948699	7.449056364440899e-18
2.7.11.1	10.439886919365302	1.92680789479301e-07
5.1.1.13	10.3522719648188	2.78309853538222e-06
1.14.11.32	10.287334344763401	6.67309214356532e-05
3.5.3.12	10.245568789116401	1.91454984138204e-05
2.7.11.1	10.2394975747664	7.1079974330720595e-06
2.3.1.20,2.3.1.22	9.8104481788326	1.8370224738502198e-11
3.1.27.1	9.69440194211891	0.000133861638128
3.1.3.3	9.67974191012574	0.009788589273154
2.7.11.1	9.66816667014441	0.000617877431839
3.1.3.74	9.61934421187395	4.60990449787127e-08
1.1.1.23	9.583615467918062	1.09576745955376e-10
3.1.1.3	9.52429276316673	6.8765745965105806e-06
1.1.1.27	9.50874419550948	1.92680789479301e-07
6.1.1.17	9.480759149827339	0.0007223666191669999
2.8.1.6	9.41698699812776	8.18552817992937e-09
2.7.11.1	9.35698130066933	1.2445677641035499e-05
1.2.1.27	9.27585928677387	1.62718993160552e-08
1.5.3.17	9.2423514183275	0.00018813607342499998
1.5.1.3	9.15871004852806	3.0424740967475304e-11
5.3.3.2	9.0057617952125	1.7468492110347304e-05
2.7.1.40	8.9837697097347	1.3317233484677999e-05
3.5.4.5	8.94756325539395	0.000133760670668
3.4.23.40	8.91596536070593	8.74601505121805e-10
3.4.22.14	8.849387067123759	3.48792269058431e-10
1.3.1.42	8.801890117411642	0.007206453052015001
2.4.1.15,3.1.3.12	8.68032487028739	0.002045958015427
2.5.1.3,2.7.1.49,2.7.4.7	8.61738421293822	0.001963791331944
4.3.1.24	8.59154285775756	3.9980664595724895e-05
2.3.1.180	8.56384088695051	0.004011445403608
1.1.1.22	8.53806656422757	1.1636579080379801e-07
3.1.13.4	8.499336520866951	0.001086269405812
2.7.7.6	8.44473043199429	0.002708633984875
3.4.25.1	8.43577831932276	4.1090694670959293e-13
2.7.11.2	8.312730067749621	2.7216978390342e-05
5.5.1.4	8.304503910301111	4.48819368227331e-06
5.3.1.16	8.24233726806197	3.64149981772318e-05
1.14.11.33	8.23294681557543	0.003270960959888
2.7.11.1	8.22482733060708	0.00020527457244900001
3.4.19.12	8.09952993382579	0.006939966421697
3.4.14.10	8.04842763586616	1.04227579248884e-08
1.10.9.1	8.01169657203102	1.5854880754702802e-09
3.4.22.6	8.000808011786269	8.79540659059371e-05
3.4.16.2	7.993011676549849	8.27146814402055e-11
2.4.2.26	7.99297589572988	0.008087365772152
1.1.1.3	7.98433636111643	0.000432867722072
3.2.2.16	7.96672181121699	1.4516624627470801e-05
1.8.1.8	7.954712082840429	0.0017957097923639999
5.3.1.6	7.9205835277723	2.14294139212088e-08
1.1.1.82	7.87683479835976	2.2655334593893103e-07
1.11.1.7	7.8507987865893	3.48792269058431e-10
3.1.3.16	7.7111472576459095	0.001853409282611
3.4.17.11	7.70588018672016	0.0006749243138200001
4.1.1.19	7.6252455276872695	1.2019296362514398e-08
1.1.1.49	7.584152390047281	0.006745328487636
3.6.1.22,3.6.1.53,3.6.1.13	7.57576812685513	2.4082124791634302e-05
3.2.1.39	7.48038572163011	2.7885617674757404e-08
3.4.22.1	7.3809877686637595	7.41835309037471e-10
3.1.2.22	7.36074323849983	0.000225008362146
3.2.1.1,3.2.1.141	7.300596927038191	0.00011082948460200001
1.11.1.7	7.266948347526621	8.615274458098799e-06
2.5.1.52,2.5.1.51,4.2.1.50,2.5.1.47	7.230248135023411	7.0604728652463e-12
2.7.11.1	7.2013442044590406	1.07982506377281e-08
2.7.11.1	7.190473583712549	0.00066957479402
3.1.3.16	7.187326240764969	0.001850307335569
5.3.1.9	7.15324731838875	2.75589818031631e-08
1.4.3.21	7.1485771534891	0.009339322523137
2.5.1.18	7.11567688397887	5.54009090384543e-09
2.7.11.1	7.06287185472504	0.006563772734247
2.7.11.1	7.0576471683833395	0.0017094770482589997
2.4.2.41	7.03973198449211	0.009374848345586
2.7.9.4	7.0352766364610195	0.009573142281746999
3.2.1.39	7.00843824247568	0.001015213584026
2.1.1.104	6.97046256623621	0.007206453052015001
3.5.1.26	6.96972752682595	0.003763261453056
3.6.4.12	6.88645265886074	0.0032824587126790003
1.3.5.1	6.8461022705460195	0.000286778437574
3.4.23.40	6.84536240042804	7.15159665252595e-06
6.1.1.6	6.8180628379802	0.000133589482865
1.10.9.1	6.807035842623139	1.28802475385717e-05
3.6.3.43	6.80528818562787	0.0038338958681029996
2.4.1.46	6.79412275976163	7.62461213996597e-07
3.1.1.3	6.784579668092589	0.000389001420628
1.1.1.195	6.73717454738244	0.001276254849994
1.14.13.121	6.70622267643693	0.000735274646548
1.17.7.1	6.661176607040219	9.97544893550842e-05
2.7.7.83,2.7.7.23	6.623516033116389	0.000286839499254
3.4.16.5	6.564819379085259	0.0005435558614359999
1.6.5.4	6.55841070391951	0.00042787724879400006
2.6.1.52	6.53619103694569	3.04053593068947e-06
6.3.2.4	6.52823689458257	0.007021297377801
1.1.1.54,1.3.1.74,1.3.1.102	6.48385757591801	0.000699593926625
3.4.22.16	6.448760081713799	1.8226306142565e-11
4.2.1.33	6.407736212950901	0.0008294892858780001
2.3.1.20	6.35836032550174	5.80006464601776e-05
3.6.1.3	6.299948212540571	0.00084113419092
1.3.1.77	6.22206143359349	2.76436167068821e-18
3.1.1.1	6.094645719332191	0.001552365216456
3.3.2.10	6.076377481563459	0.005291449726634
3.1.3.16	6.05730670127555	0.005325243179333
3.1.1.1	6.047686981856789	0.00016005566095399998
1.5.1.20	6.041181535072321	0.000556107743956
2.5.1.52,2.5.1.51,4.2.1.50,2.5.1.47	6.03863709387967	1.12901340551244e-05
3.4.22.16	6.00362751158937	0.00014117419265299999
2.4.2.41	6.000867430811651	5.5516768460395606e-05
3.6.3.6	5.90640842526021	0.0055104260637069994
3.1.4.11,4.6.1.13	5.80799543217483	8.410604928633509e-06
1.14.11.9	5.79010452827222	0.001152995516181
3.1.3.21	5.78755094661695	0.0029206703470850003
4.2.3.5	5.755484215938081	1.28802475385717e-05
3.4.19.12	5.7484010378829	0.00272743082676
2.3.2.5	5.721265256989219	0.0027684270798419997
2.4.1.273	5.68927682142864	0.0094143017466
3.1.1.26	5.645207766079309	0.00043406224237900004
3.4.19.5	5.51807180920192	0.002708633984875
2.8.1.8	5.51235916756112	0.006871703393193001
5.3.4.1	5.50649231228863	0.000678453670652
2.7.11.1	5.479863564002299	0.005081777157964001
3.4.11.21	5.37504302400391	0.004544529850159001
2.7.11.1	5.36161209975883	0.000629648285035
3.3.2.10	5.2180218136411	0.0017104267237589997
3.6.3.6	5.1547874996394505	0.0005519833530800001
2.3.1.133	5.13447882161769	0.004600519588335
2.7.11.1	5.124964474944281	0.001514176587654
3.4.22.41	5.11856041643899	8.32789333918485e-09
3.5.1.9	4.99228124496004	0.0053762913215009995
3.4.25.1	4.8724340724817	0.0016630462347570004
2.1.1.104	4.82368596384475	0.002273098329026
3.4.22.1	4.702576017926231	0.002312244265699
1.10.2.2	4.63777273333958	0.00011169919999700002
2.3.1.74	4.63095965637879	8.38764491669201e-06
2.7.6.1	4.62816424629174	0.0029989337431
1.3.3.3	4.610529231007179	0.004617660116859001
3.1.1.3	4.545139435242611	6.688841224717261e-11
1.1.1.219	4.4615808241893395	0.000131243408032
3.4.25.1	4.40928267106369	0.00610139604547
4.1.1.35	4.39489928009418	0.004235376820236
3.5.1.14	4.38696299813994	0.000699593926625
3.2.1.58	4.24920381378348	0.0032904273063729993
2.4.1.85	4.04193126109916	2.70232463076533e-07
3.6.4.13,3.6.4.12	4.03871108312284	0.0019021281157660002
1.1.1.195	3.91135460328672	0.0015527715324749997
1.1.1.86	3.9082525786799103	0.004703569970984999
4.3.1.24	3.8685725271558304	0.0023283560924899998
4.1.2.13	3.8300177717052994	0.002062361686474
1.1.1.195	3.77169055977939	0.00048276168520300003
3.4.19.3	3.70656840566419	0.0018906056078319999
2.7.1.40	3.43064427482163	0.00089443552307
3.6.3.14	3.42567363464474	0.001055719203029
2.3.1.74	3.40489536074417	0.000634465007834
2.7.11.1	3.39610817179524	1.34063651423767e-07
3.1.3.2,1.11.1.7	3.3491327971983997	0.000735274646548
1.1.1.133	3.09029246048885	0.008753497551346
3.6.5.3	3.0067511269507996	0.000721544406132
2.3.1.74	2.9595184490627404	0.003774937824517
2.7.4.6	2.6416558815668703	0.000795765190788
3.6.1.1	2.4929244698070097	0.00894290349812
