EC	log2_fold_change	valor_p_ajustado
3.6.4.12	42.2250894149298	8.229257593621748e-54
1.3.1.42	31.997554301363696	0.005671475808806
2.4.1.43	31.689977866368398	0.006445278878898001
3.5.1.23	28.8845181292465	0.0017407740919609998
2.4.1.324	26.888589725127698	2.7805414244038204e-09
1.3.1.75	26.3964443382313	6.653067472993179e-15
2.7.11.1	21.348615972432302	1.28290745530574e-11
2.4.1.15,3.1.3.12	14.138500433270499	3.47835978389742e-05
4.3.1.24	11.618837192887199	0.001162106793736
3.1.1.3	11.5135482947653	9.84738515005434e-08
3.1.27.1	11.474680605772901	1.4138076164269101e-05
3.4.19.12	11.1768259222126	0.00027607792160199996
2.7.7.6	11.172377997978401	0.000110564931834
1.14.11.9	11.0575179789282	2.6208660378119103e-11
1.14.13.173	10.976785410869802	2.70812886906448e-05
5.3.1.5	10.9713615952281	7.659076807579891e-11
2.8.1.6	10.808992746870198	7.528622390829658e-11
3.5.1.16	10.700319798486	1.03902633667638e-07
2.1.1.43	10.698800573410901	1.10731676560644e-06
2.4.1.15,3.1.3.12	10.4724698746147	2.3047354578725e-07
1.14.13.121	10.435209044285099	3.802944890597129e-05
2.7.11.1	10.4340262335418	7.628211492828129e-09
2.7.11.1	10.432293246448301	0.009114242792419
4.3.3.2	10.401278580653301	2.1825529157906896e-05
2.4.2.24	10.3848498467529	0.003074220742053
5.3.3.2	10.356589834856699	2.08025861796932e-06
3.2.1.39	10.3074307375382	2.7243415596289503e-13
2.7.11.1	10.2984796754532	9.06462571875723e-13
2.7.11.24	10.2897131014203	0.000108916713526
1.3.2.3,1.6.5.3	10.2660821138112	9.98070665973209e-07
1.1.1.3	10.260759767867901	9.48983645581277e-06
2.4.1.1	10.258452293711901	0.00029427970792
1.2.1.3	10.100047379806801	0.0017797407381520002
5.4.99.28	10.025730474865	0.008772593500017
2.4.1.255	10.0149523489938	0.00202916641736
2.7.11.1	9.99611343077892	0.001386192152452
3.4.22.14	9.734391070235029	1.36085980433567e-11
1.3.1.42	9.68883179785874	0.008740030247399999
2.4.2.41	9.59062364790607	0.000577539605616
3.6.3.6	9.539614037438099	3.83759270132198e-06
2.7.11.1	9.53101036996792	1.18801337349156e-05
1.6.5.3	9.45998601969322	5.4669073811235005e-06
3.4.23.40	9.43473536452664	2.92469102930032e-10
3.1.3.74	9.380683488306222	5.11364856372776e-07
2.1.1.43	9.37649500974434	0.000167132991515
3.6.1.22,3.6.1.13	9.35459473192552	3.06346631304702e-05
2.7.11.1	9.353191570046619	0.00016023367724000002
3.1.3.16	9.347972822238448	0.000328440252272
2.3.1.20,2.3.1.158	9.30268853754053	2.28479611679593e-06
