EC	log2_fold_change	valor_p_ajustado
2.7.11.1	27.344869677303702	3.4460667335056e-23
3.6.4.12	14.2841164571664	2.60697655729596e-05
3.5.1.16	7.845839557753969	0.00016001241870700002
1.14.13.121	7.789036288460599	8.88390721773217e-05
2.4.1.34	7.5948766526036	0.002219952864088
1.2.4.2	7.223451535246429	0.001105043922871
2.7.11.1	6.97708495380141	0.0004207512007809999
2.3.1.47	6.598515655576559	0.003127388393741
6.3.2.19	6.25579876318655	0.001942659646407
5.5.1.4	6.1651741429433	0.002280039150663
1.1.1.3	6.0543009455600405	2.12705422923673e-08
2.7.11.1	6.04079762566581	0.007963114153659
3.2.1.1,3.2.1.141	5.99559562997864	0.004088724621833
3.4.25.1	5.740741037188539	0.0014413066159089999
3.2.2.16	5.69727441900293	0.007276681796065
1.14.13.28	5.37275891171903	0.0011043174903269998
2.7.13.3	5.162739292031519	0.00677188075585
3.4.23.40	4.94740611813898	0.003571990870291
2.1.1.14	4.70293728536324	0.005445535849217999
2.7.11.1	4.49571068579259	1.11038343279825e-12
2.7.1.40	4.42597226404758	1.52895934658537e-05
1.2.1.12	4.18951212648798	0.004088724621833
6.3.2.19	3.43140390847687	0.004900270664204001
