EC	log2_fold_change	valor_p_ajustado
1.14.11.32	14.023084631319001	2.14643093096279e-08
3.4.22.16	12.395880660082199	1.40418495258614e-17
3.1.27.1	11.6742368437482	3.67480104991119e-06
3.4.14.10	11.462622533838902	4.2398833216741704e-17
2.4.1.15,3.1.3.12	11.4517782069471	0.000917609986392
2.3.1.20,2.3.1.22	11.3979318841661	4.13280660347233e-15
4.3.3.2	11.3047280142857	8.82949603924305e-07
2.4.1.82	10.9716452414078	6.97057229388052e-05
3.1.3.3	10.718771100155	0.006377486900101001
3.2.1.1,3.2.1.141	10.282757873614802	1.67787876369608e-08
3.5.1.9	10.066994571349	4.15650690164651e-10
3.4.22.16	9.99257432327369	6.04088958462729e-27
2.4.1.46	9.896757094868141	7.238598541844439e-14
2.1.1.43	9.87521882334167	4.6556966206899695e-06
3.1.13.4	9.31031335110212	1.3863130270658002e-06
6.6.1.1	9.16392299020812	1.65805475367034e-05
3.5.1.9	9.10747916842063	0.005549256644330001
2.3.2.5	8.62271738091134	1.49891031279945e-06
3.5.1.16	8.47884423682789	3.26536496657317e-05
2.4.1.15,3.1.3.12	8.40928703605324	4.06888882379045e-05
2.4.2.39	8.3972231263008	0.000255852853867
5.4.3.8	8.31269972420781	7.51772854771055e-05
2.7.11.1	8.20353776288102	9.15152897348802e-05
3.6.4.13,3.6.4.12	8.18784983576549	1.31382217835846e-13
3.4.22.14	7.880649577685831	6.09664703459458e-08
3.5.1.14	7.87956105183077	2.31283247739127e-11
3.1.1.3	7.6754335480942695	2.6925671289628e-05
3.5.1.1	7.362357003687181	0.007559822011455999
3.6.5.6	7.353574932753849	0.007296311015649
3.1.1.3	7.35243746461815	0.0016702639687719999
2.7.11.1	7.17331382419416	0.003852122404311
4.2.1.11	7.050548021129219	0.003377046350247
3.2.2.27	7.045768214916349	0.007244103177239
3.1.1.3	6.872812782126419	0.0005504812451
1.5.1.20	6.82644120368168	0.00010748809797
3.3.2.10	6.557438812678191	0.0042797971824339994
1.3.1.42	6.53972819425383	0.0005504812451
3.1.3.16	6.43025766804119	5.671540805126151e-08
1.6.99.3,1.6.5.3	6.362891446812791	0.0019613760788070003
3.2.1.39	6.31846883004187	8.48040395324395e-06
2.2.1.7	6.2787573946891	0.006073997438437
2.7.11.1	6.12222169012199	9.387186999235909e-05
2.4.1.207	6.00710993699872	0.00036074500663699997
3.1.3.74	6.000181127331361	0.003431264296892
4.1.1.39	5.9722942438230096	2.16094624982795e-13
2.8.1.6,2.8.1.7	5.94103013529963	0.003138875820545
2.7.11.1	5.89090144370332	0.0034586222468670005
3.6.3.47	5.783123860002821	0.004588351228226
1.11.1.7	5.673344401907491	0.00194881956018
3.1.1.26	5.6418789770002995	0.000735016631484
3.6.3.6	5.64088179054289	0.000190210254746
1.3.3.3	5.323724553602401	0.0013155675355369999
3.4.22.41	5.319395411600429	2.79092355901419e-09
3.4.23.40	5.263960108066191	0.00159865001781
1.11.1.7	4.98386156800854	0.00036074500663699997
1.1.1.82	4.93905445195083	0.005841544864959001
3.1.1.3	4.7063407327304105	2.0971006920064e-11
1.1.1.195	4.67902441891552	0.000111215933864
3.1.2.12	4.3742306368706	0.000811537662387
1.2.1.8	4.07827315360539	0.000190210254746
1.1.1.133	3.9150317558150296	0.0006571249834319998
2.7.1.40	3.85133296688494	6.67059522256667e-05
2.4.1.207	3.74444668345778	0.005933466464328
3.4.22.41	3.08287777693268	0.007559822011455999
