;AvrBs2;XB3;XopAE;XopAG;XopAK;XopAO1;XopC2;XopE1;XopE4;XopK;XopL;XopN;XopQ;XopR;XopV;XopZ;;;
Glycolysis _Gluconeogenesis;6;2;5;7;4;1;1;3;4;1;0;2;2;0;7;2;;;
Citrate cycle (TCA cycle);2;1;2;3;1;0;1;3;2;0;0;1;0;0;0;0;;;
Pentose phosphate pathway;6;5;5;7;3;0;0;4;5;0;0;0;0;1;6;1;;;
Pentose and glucuronate interconversions;1;3;1;2;1;0;0;2;2;0;0;0;0;0;0;0;;;
Fructose and mannose metabolism;2;2;1;5;3;0;0;3;1;0;0;0;0;0;1;1;;;
Galactose metabolism;0;1;0;0;3;1;0;0;0;0;0;0;1;0;0;0;;;
Ascorbate and aldarate metabolism;3;2;2;1;0;0;0;1;2;1;0;0;0;0;0;0;;;
Starch and sucrose metabolism;5;3;4;6;6;1;1;1;1;0;0;1;2;2;6;0;;;
Amino sugar and nucleotide sugar metabolism;5;3;6;5;5;0;0;1;1;0;0;0;1;0;4;0;;;
Pyruvate metabolism;5;2;4;4;4;0;1;2;7;2;0;1;2;0;4;1;;;
Glyoxylate and dicarboxylate metabolism;2;4;1;3;4;0;0;2;3;0;0;0;1;0;1;0;;;
Propanoate metabolism;3;0;3;4;2;0;0;1;2;0;0;0;0;0;2;1;;;
Butanoate metabolism;1;0;0;0;1;0;0;0;1;0;0;0;0;0;1;0;;;
C5-Branched dibasic acid metabolism;0;0;1;0;0;0;0;1;0;0;0;0;0;0;1;0;;;
Inositol phosphate metabolism;2;1;3;3;2;0;0;2;3;0;0;1;0;0;3;0;;;
Oxidative phosphorylation;6;4;8;9;3;0;0;4;2;0;0;1;2;1;5;1;;;
Photosynthesis;2;2;1;2;3;2;0;2;3;1;0;1;0;1;2;0;;;
Photosynthesis - antenna proteins;0;0;1;1;0;0;0;1;0;0;0;0;0;0;0;0;;;
Carbon fixation in photosynthetic organisms;7;5;3;4;5;1;0;3;7;0;0;1;2;0;4;1;;;
Carbon fixation pathways in prokaryotes;1;1;1;1;2;0;0;2;1;0;0;0;1;0;2;0;;;
Methane metabolism;3;3;2;5;4;0;0;3;1;0;0;0;2;0;3;1;;;
Nitrogen metabolism;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;;
Sulfur metabolism;2;3;1;3;3;1;0;2;3;0;0;0;0;2;2;0;;;
Fatty acid biosynthesis;0;1;2;0;0;0;0;0;0;0;0;0;0;0;0;0;;;
Fatty acid elongation;1;0;1;1;0;0;0;0;0;0;0;0;0;0;1;0;;;
Fatty acid degradation;0;0;0;2;1;0;0;1;2;0;0;0;0;0;1;1;;;
Synthesis and degradation of ketone bodies;0;0;0;0;1;0;0;0;1;0;0;0;0;0;1;0;;;
Cutin, suberine and wax biosynthesis;0;0;0;0;1;0;0;0;0;1;0;0;0;0;0;0;;;
Steroid biosynthesis;1;0;0;1;1;0;0;1;0;0;0;0;0;0;0;0;;;
Glycerolipid metabolism;2;3;2;3;3;0;0;1;2;0;0;0;1;0;2;0;;;
Glycerophospholipid metabolism;1;1;1;1;0;0;0;2;0;1;0;0;0;0;1;0;;;
Ether lipid metabolism;0;0;1;1;0;0;0;0;0;0;0;0;0;0;0;0;;;
Sphingolipid metabolism;1;0;1;1;1;0;0;0;1;0;0;0;0;0;0;0;;;
alpha-Linolenic acid metabolism;2;1;1;4;0;0;0;2;1;0;0;0;1;1;1;1;;;
Biosynthesis of unsaturated fatty acids;0;0;0;2;0;0;0;1;1;0;0;0;0;0;0;1;;;
Purine metabolism;4;4;3;3;1;0;1;3;4;1;0;1;1;0;4;2;;;
Pyrimidine metabolism;2;1;2;1;0;0;0;2;1;0;0;0;0;0;2;1;;;
Alanine, aspartate and glutamate metabolism;1;1;1;1;1;0;0;2;0;0;0;0;1;0;0;1;;;
