id_manihot,id_arabidopsis,EC,KO,log2_fold_change,valor_p_ajustado
Manes.02G189600,AT2G38470.1,0,K13424,43.78823758847079,2.79254369306048e-33
Manes.15G152500,AT5G14420.4,0,K16280,40.9836241557509,1.4265396848430299e-24
Manes.15G089100,AT3G15220.1,2.7.11.1,K08838,27.344869677303702,3.4460667335056e-23
Manes.03G060700,AT2G25870.1,0,0,21.1204082368133,3.3983322771514895e-05
Manes.05G110700,AT1G18650.1,0,0,16.592891866067,4.920373405630089e-23
Manes.08G010600,AT2G36950.1,0,0,16.3451278649931,1.31439864688084e-26
Manes.18G013500,AT1G19980.1,0,0,14.5090816805807,9.79861343459405e-38
Manes.11G037600,AT1G79830.3,0,K20286,14.355192161656802,3.02500040015439e-16
Manes.16G060500,AT5G44800.1,3.6.4.12,0,14.2841164571664,2.60697655729596e-05
Manes.01G028300,AT1G18650.1,0,0,13.5425312426737,4.048672225311721e-14
Manes.16G032100,AT2G20560.1,0,K09510,12.54868736181,3.7921038278909396e-07
Manes.06G104500,AT3G27960.1,0,0,12.129725358861101,1.06442370828203e-05
Manes.08G136000,AT3G04710.1,0,0,11.243317737657199,5.76646349624981e-07
Manes.04G020300,AT2G15530.4,0,,10.9640805796982,0.000577177777332341
Manes.11G026000,AT3G13850.1,0,0,10.9443849671934,3.7684159298370794e-07
Manes.11G150900,AT5G60800.1,0,0,10.743280586905,4.28254995606897e-09
Manes.07G126500,AT2G39990.1,0,K03249,9.927139079644778,0.00572686782629225
Manes.01G275000,AT1G53820.1,0,0,9.83724471488699,7.58911449268538e-13
Manes.01G044400,AT5G24580.1,0,0,9.79236727539049,2.3829711700593e-06
Manes.05G064600,AT5G27690.1,0,0,9.599602983746019,7.048808631798031e-15
Manes.14G160700,0,0,0,9.07236665451167,6.3785160824955495e-06
Manes.04G140100,AT3G13850.1,0,0,8.91496895860998,2.69664202508881e-06
Manes.14G084400,AT5G62380.1,0,0,8.71591745094186,0.000134243983289911
Manes.05G119900,AT1G19260.1,0,0,8.615334978198941,7.35429019607202e-06
Manes.06G095800,AT5G62740.1,0,0,8.26964717122611,0.00173593389579702
Manes.14G159800,AT5G57250.1,0,0,8.21335228505743,0.000565681022218642
Manes.13G075100,AT4G38620.1,0,K09422,8.050343749097639,0.00632916724469255
Manes.09G131700,AT5G17600.1,0,0,8.00757107541627,5.833429375296e-06
Manes.07G113100,AT3G18990.1,0,,7.8745863771667395,0.00966050470371522
Manes.17G013000,AT4G17830.1,3.5.1.16,K01438,7.845839557753969,0.000160012418706711
Manes.15G062500,AT3G26280.1,1.14.13.121,0,7.789036288460599,8.88390721773217e-05
Manes.08G083400,AT3G54040.1,0,0,7.64868819565784,0.00316915215948532
Manes.S094300,AT5G64880.1,0,,7.631933745140739,6.57398099955324e-07
Manes.03G090100,AT5G13000.1,2.4.1.34,K11000,7.5948766526036,0.00221995286408814
Manes.17G058000,AT2G34200.1,0,0,7.372178822053959,3.7369556735731e-05
Manes.06G092300,0,0,0,7.27314556140357,0.00710372249568032
Manes.S059100,AT5G11420.1,0,0,7.22667775924193,1.36526125910161e-07
Manes.10G034500,AT3G55410.1,1.2.4.2,K00164,7.223451535246429,0.00110504392287144
Manes.14G021900,AT1G01490.2,0,0,7.22137247514099,0.0044892574951143896
Manes.16G071400,0,0,0,7.15005443545394,2.29466595836987e-10
Manes.11G096700,AT2G16860.1,0,K12868,7.058709272639541,3.27100139215741e-05
Manes.09G114000,0,0,0,6.98304571161648,0.00355723650050863
Manes.12G006900,AT5G13150.1,0,K07195,6.98284319321654,0.00449309059269422
Manes.01G264700,AT2G45480.1,0,0,6.982404129520741,0.0076737742204413
Manes.07G001100,AT5G60900.1,2.7.11.1,,6.97708495380141,0.000420751200780775
Manes.06G118500,AT2G18110.1,0,K03232,6.8056466429786395,0.00017487034139741
Manes.11G069900,AT1G16070.1,0,0,6.624803832252071,0.000485041646435421
Manes.06G102500,AT5G04620.2,2.3.1.47,K00652,6.598515655576559,0.00312738839374073
Manes.S111300,AT3G24420.1,0,0,6.5965203941568396,0.00165304630517673
Manes.01G268400,0,0,,6.59476933547021,0.0008499911850344759
Manes.09G106600,AT5G58590.1,0,K15306,6.464864959047881,0.00177450421931315
Manes.10G046000,0,0,,6.33163910479972,8.4645415283475e-05
Manes.07G066800,AT3G19540.1,0,0,6.32020178146188,0.000105364632573824
Manes.09G092900,AT2G37630.1,0,K09422,6.27737048421282,0.000320510874806222
Manes.04G056000,AT3G19950.1,6.3.2.19,K11982,6.25579876318655,0.0019426596464069698
Manes.02G129800,AT3G46640.2,0,0,6.201577550852719,7.41535161230966e-06
Manes.13G091100,AT2G22240.1,5.5.1.4,K01858,6.1651741429433,0.0022800391506630604
Manes.17G008800,AT5G48790.1,0,0,6.15571197920062,0.000869303986521517
Manes.05G096900,AT5G62740.1,0,0,6.07335299926687,0.0058039894083804205
Manes.18G116300,AT1G31230.1,1.1.1.3,,6.0543009455600405,2.12705422923673e-08
Manes.14G105800,AT1G25390.1,2.7.11.1,0,6.04079762566581,0.007963114153658591
Manes.05G097100,AT1G69830.1,"3.2.1.1,3.2.1.141",K01176,5.99559562997864,0.00408872462183261
Manes.16G137700,AT4G31290.1,0,K22596,5.94584825438972,0.00160310180185234
Manes.04G091900,AT1G12840.1,0,K02148,5.93853801461193,0.00671941651733888
Manes.03G081600,AT1G51630.1,0,0,5.936179177600349,0.00214648412738116
Manes.01G093200,AT5G07680.1,0,0,5.91337533938174,0.0007412574915296139
Manes.04G024700,AT1G56450.1,3.4.25.1,K02736,5.740741037188539,0.00144130661590865
Manes.04G078800,AT4G38800.1,3.2.2.16,K01244,5.69727441900293,0.007276681796064991
Manes.03G049000,AT2G26140.1,0,K08955,5.5798385288279295,0.00157803219802481
Manes.12G144000,AT4G31500.1,0,0,5.553459471472861,4.94314111246456e-05
Manes.08G046800,AT5G06900.1,1.14.13.28,0,5.37275891171903,0.00110431749032699
