id_manihot,id_arabidopsis,EC,KO,log2_fold_change,valor_p_ajustado
Manes.02G189600,AT2G38470.1,0,K13424,44.5258319688664,7.52290466905821e-39
Manes.15G152500,AT5G14420.4,0,K16280,37.390417053400604,1.50673455148411e-20
Manes.16G060500,AT5G44800.1,3.6.4.12,0,35.3256233599043,3.8996511841325e-36
Manes.13G038200,AT1G04140.1,0,0,27.2596335599332,2.69541295955044e-08
Manes.08G029900,AT2G47140.1,1.1.1.331,0,26.371990397764502,1.89441279901491e-06
Manes.14G061200,AT1G15530.1,2.7.11.1,0,25.6122013983016,0.00110059092538251
Manes.06G094100,AT3G47640.2,0,0,24.204737992585898,1.4521324270111802e-07
Manes.15G089100,AT3G15220.1,2.7.11.1,K08838,23.3432048773027,1.5694725041269198e-16
Manes.09G163800,AT5G27400.1,0,K22696,22.5885464886693,4.7068422151752805e-08
Manes.02G151400,AT1G22360.1,2.4.1.324,0,21.0446700253156,8.19882789505491e-06
Manes.03G060700,AT2G25870.1,0,0,19.915518354223302,8.179895146180459e-05
Manes.18G059800,AT5G49700.1,0,0,17.301607691746398,0.00218372673202347
Manes.15G016500,AT5G18660.1,1.3.1.75,K19073,15.108913304437001,0.000124424356024672
Manes.05G012000,AT2G47180.1,2.4.1.123,K18819,14.0594233911998,4.692373068960969e-16
Manes.15G077000,AT5G54680.1,0,0,14.037458718039698,8.140158959491541e-23
Manes.08G076700,AT2G37480.1,0,0,13.0928482027024,1.1870036490287798e-30
Manes.02G096600,AT5G66450.1,3.1.3.4,K07252,13.0450770982665,6.72162836377094e-09
Manes.04G024800,AT5G60400.3,0,0,13.0336806941994,0.00163027339647686
Manes.09G179100,AT1G56600.1,2.4.1.123,K18819,12.9375699483269,1.37097591355196e-13
Manes.09G035700,AT2G42080.1,0,0,12.5784416559095,0.0005852632583896299
Manes.03G121200,AT5G54600.1,0,K02895,12.278137702384301,9.951321839036229e-49
Manes.11G141900,AT5G60400.3,0,0,11.8174944414191,4.4282983308870794e-17
Manes.01G034000,AT2G04660.1,0,K03349,11.1797933404919,0.009550962445189241
Manes.08G103200,AT5G13190.1,0,K19363,11.050581743894401,7.10030329120092e-06
Manes.03G212700,AT1G48300.1,2.3.1.20,K22849,10.9180637673439,1.32669118555169e-13
Manes.15G068900,AT1G11910.1,3.4.23.40,K08245,10.8861381169956,5.00485228126016e-14
Manes.03G156000,AT1G04140.1,0,0,10.780154891582901,8.22616770109687e-05
Manes.03G122100,AT5G54680.1,0,0,10.5161302118279,2.5237710457375003e-15
Manes.17G037800,AT4G21870.1,0,K13993,10.512392889563301,2.05838971104942e-09
Manes.14G084200,AT5G15490.1,1.1.1.22,K00012,10.1427306379417,0.00694164873733424
Manes.16G095200,AT2G06005.1,0,0,10.075584296086099,0.00131445988539865
Manes.11G153700,AT2G27920.1,3.4.16.5,K09646,9.993159344653641,2.39710442975154e-08
Manes.03G165600,AT4G14410.1,0,0,9.78594596837685,9.253227777625059e-06
Manes.02G178700,AT1G43670.1,3.1.3.11,K03841,9.722957866055289,1.38767349521742e-18
Manes.02G076900,AT5G37720.2,0,K12881,9.680498426100339,3.0690400067130396e-23
Manes.13G068000,AT1G11910.1,3.4.23.40,K08245,9.5018618862852,6.81703961624852e-11
Manes.02G035800,AT4G12420.2,1.10.3.3,0,9.447779439089919,0.000181667475718092
Manes.13G075100,AT4G38620.1,0,K09422,9.44442594214852,0.000595004431956287
Manes.04G014900,AT1G08110.4,4.4.1.5,K01759,9.4105646605264,4.279699538643879e-09
Manes.14G085400,AT2G33040.1,3.6.3.14,K02136,9.40878302566365,3.4045149783787003e-18
Manes.11G112800,AT3G43660.1,0,K22736,9.375716470957551,0.000183491199578252
Manes.16G130200,AT5G25080.1,0,K12592,9.20540387949237,0.00137233040524158
