id_manihot,id_arabidopsis,EC,KO,log2_fold_change,valor_p_ajustado
Manes.18G120700,AT1G76690.1,1.3.1.42,K05894,31.3845890694638,0.00411227182265446
Manes.15G016500,AT5G18660.1,1.3.1.75,K19073,29.732812877158104,1.4141602687773499e-19
Manes.06G094100,AT3G47640.2,0,0,23.787305088641702,6.48350578837856e-07
Manes.01G059400,AT1G63670.1,0,0,22.135665843305603,8.9394018843062e-09
Manes.09G107700,AT5G01370.1,0,0,16.4674304645958,3.49692932346891e-36
Manes.03G178100,AT1G05420.1,0,0,15.876777390327302,1.90185203857604e-14
Manes.02G195400,AT1G07200.2,0,0,14.7190448076164,3.26893021615786e-21
Manes.07G013300,AT1G25260.1,0,K14815,14.2156376977443,2.8609814492996897e-20
Manes.04G149300,AT1G72370.2,0,K02998,14.100922028752802,1.0328235453406e-29
Manes.04G125700,AT1G11300.1,2.7.11.1,0,13.119393372480001,8.079244134284909e-15
Manes.02G111000,AT4G35780.1,2.7.12.1,0,13.0950380032766,0.00471775604100213
Manes.04G078800,AT4G38800.1,3.2.2.16,K01244,12.8907016872494,1.6084345041927697e-13
Manes.02G189600,AT2G38470.1,0,K13424,12.645311639449599,0.00546910074526587
Manes.08G069900,AT4G16360.3,0,K07199,12.600150585030502,3.0137690562582796e-10
Manes.16G130200,AT5G25080.1,0,K12592,12.459547730125198,4.2338631446125195e-06
Manes.08G136000,AT3G04710.1,0,0,12.4570108650717,2.26959940558177e-08
Manes.17G056100,AT1G29195.1,0,0,12.0611561834043,1.37340914530702e-06
Manes.06G053300,AT3G25910.1,0,0,12.007625997999,0.000119142242178676
Manes.02G112700,AT5G66030.1,0,0,11.945151526503802,2.7150001909349696e-13
Manes.18G013500,AT1G19980.1,0,0,11.7012648884955,1.5694374993318e-24
Manes.03G086600,AT5G56460.1,2.7.11.1,0,11.5669140730533,0.000140976916850042
Manes.02G121000,AT2G29660.1,0,0,11.4578709417348,4.16987338654386e-15
Manes.14G111700,AT5G58040.1,0,0,11.4419935135854,0.00483935043331691
Manes.04G093100,AT5G13960.1,2.1.1.43,0,11.378658029275998,6.64600495034081e-08
Manes.03G161700,AT2G33435.1,0,K12837,11.200686056918302,0.0034048404209184604
Manes.03G161100,AT3G23510.1,2.1.1.79,K00574,10.937756566370599,0.007732055989937521
Manes.06G109200,AT2G42490.1,1.4.3.21,K00276,10.851143476094501,0.0072801800921991205
Manes.10G077200,AT1G47128.1,3.4.22.14,0,10.8309078954165,8.858974504848009e-15
Manes.06G065800,AT3G18290.1,6.3.2.19,K16276,10.8198308644928,0.00213798743898344
Manes.02G099900,AT4G36280.1,0,0,10.779039704146099,0.00018954203989863402
Manes.11G091200,AT2G34750.1,0,K15216,10.7061672125178,7.173057484177001e-10
Manes.01G112600,AT3G18280.1,0,0,10.62443082583,1.0328235453406e-29
Manes.15G182200,AT4G17770.1,"2.4.1.15,3.1.3.12",K16055,10.4777163737704,1.04224170255542e-07
Manes.01G112700,AT3G18280.1,0,0,10.1617378529875,8.2490122620302e-21
Manes.08G010800,AT5G03415.1,0,K04683,10.1135419973107,0.000651855344522998
Manes.12G158700,AT1G77280.1,2.7.11.1,0,10.0844507227223,0.000907400027698374
Manes.05G032700,AT1G63800.1,6.3.2.19,K10576,10.0296072257541,0.000330537691701935
Manes.03G095300,AT1G79020.1,0,K11322,9.889169147775029,3.35875011543345e-05
Manes.11G014400,AT1G72370.1,0,K02998,9.80876098577156,7.30202544157791e-06
Manes.15G009900,AT3G16770.1,0,K09286,9.75739287132727,3.54247301803005e-10
Manes.06G132800,AT5G61500.1,0,K08343,9.5371287203696,0.000200039792012559
Manes.01G028300,AT1G18650.1,0,0,9.52007597958961,5.09386226079374e-07
Manes.01G023900,AT5G08170.1,3.5.3.12,K10536,9.43975006316633,0.00019155427473610502
Manes.10G031600,AT3G20310.1,0,K09286,9.17188284311576,9.357580494562109e-05
Manes.04G083000,AT4G34710.2,4.1.1.19,K01583,8.919597406317962,6.59958402024756e-10
Manes.06G118500,AT2G18110.1,0,K03232,8.915986398749439,2.43457888332171e-07
Manes.01G026800,AT1G13700.1,3.1.1.31,K01057,8.84409105601841,0.00047291629692958897
Manes.15G181500,AT1G72370.1,0,K02998,8.804713187192231,2.1282934493004103e-10
