Manes.18G120700	AT1G76690.1	1.3.1.42
Manes.15G016500	AT5G18660.1	1.3.1.75
Manes.06G094100	AT3G47640.2	0
Manes.01G059400	AT1G63670.1	0
Manes.09G107700	AT5G01370.1	0
Manes.03G178100	AT1G05420.1	0
Manes.02G195400	AT1G07200.2	0
Manes.07G013300	AT1G25260.1	0
Manes.04G149300	AT1G72370.2	0
Manes.04G125700	AT1G11300.1	2.7.11.1
Manes.02G111000	AT4G35780.1	2.7.12.1
Manes.04G078800	AT4G38800.1	3.2.2.16
Manes.02G189600	AT2G38470.1	0
Manes.08G069900	AT4G16360.3	0
Manes.16G130200	AT5G25080.1	0
Manes.08G136000	AT3G04710.1	0
Manes.17G056100	AT1G29195.1	0
Manes.06G053300	AT3G25910.1	0
Manes.02G112700	AT5G66030.1	0
Manes.18G013500	AT1G19980.1	0
Manes.03G086600	AT5G56460.1	2.7.11.1
Manes.02G121000	AT2G29660.1	0
Manes.14G111700	AT5G58040.1	0
Manes.04G093100	AT5G13960.1	2.1.1.43
Manes.03G161700	AT2G33435.1	0
Manes.03G161100	AT3G23510.1	2.1.1.79
Manes.06G109200	AT2G42490.1	1.4.3.21
Manes.10G077200	AT1G47128.1	3.4.22.14
Manes.06G065800	AT3G18290.1	6.3.2.19
Manes.02G099900	AT4G36280.1	0
Manes.11G091200	AT2G34750.1	0
Manes.01G112600	AT3G18280.1	0
Manes.15G182200	AT4G17770.1	2.4.1.15,3.1.3.12
Manes.01G112700	AT3G18280.1	0
Manes.08G010800	AT5G03415.1	0
Manes.12G158700	AT1G77280.1	2.7.11.1
Manes.05G032700	AT1G63800.1	6.3.2.19
Manes.03G095300	AT1G79020.1	0
Manes.11G014400	AT1G72370.1	0
Manes.15G009900	AT3G16770.1	0
Manes.06G132800	AT5G61500.1	0
Manes.14G018000	AT5G53160.2	0
Manes.01G028300	AT1G18650.1	0
Manes.01G023900	AT5G08170.1	3.5.3.12
Manes.04G020300	AT2G15530.4	0
Manes.10G031600	AT3G20310.1	0
Manes.04G083000	AT4G34710.2	4.1.1.19
Manes.06G118500	AT2G18110.1	0
Manes.01G026800	AT1G13700.1	3.1.1.31
Manes.15G181500	AT1G72370.1	0
Manes.07G126300	AT2G39990.1	0
Manes.S033500	AT5G21060.1	1.1.1.3
Manes.09G066300	AT5G03380.1	0
Manes.03G187800	AT3G06270.1	3.1.3.16
Manes.09G061900	AT2G32600.1	0
Manes.06G076800	AT3G57030.1	4.3.3.2
Manes.12G049000	AT4G13830.2	0
Manes.09G096100	AT5G02050.1	0
Manes.14G021900	AT1G01490.2	0
Manes.08G006300	AT3G53400.1	0
Manes.12G043700	AT4G29040.1	3.4.25.1
Manes.02G107200	AT5G66120.2	4.2.3.4
Manes.13G085600	0	1.2.1.8
Manes.10G153700	AT1G55360.1	0
Manes.04G063000	AT5G22060.1	0
Manes.02G209900	AT2G27040.1	0
Manes.05G097100	AT1G69830.1	3.2.1.1,3.2.1.141
Manes.10G060800	AT5G22060.1	0
Manes.03G117700	AT3G20630.1	3.4.19.12
Manes.03G163500	AT1G04430.2	2.1.1.103
Manes.15G175800	AT3G28480.1	1.14.11.2
Manes.15G040600	AT2G31200.1	0
Manes.01G189500	AT1G27000.1	0
Manes.01G183300	AT4G27880.1	6.3.2.19
Manes.14G059200	AT1G13080.1	1.14.13.121
Manes.15G062500	AT3G26280.1	1.14.13.121
Manes.10G026400	AT3G11410.1	3.1.3.16
Manes.01G163500	AT2G29660.1	0
Manes.11G014600	AT1G72370.1	0
Manes.09G072000	AT3G53500.2	0
Manes.16G095100	AT3G45310.1	3.4.22.16
Manes.13G051700	AT3G07310.1	0
Manes.08G083400	AT3G54040.1	0
Manes.01G073700	AT4G12130.1	0
Manes.10G123200	AT1G60950.1	0
Manes.03G040700	AT3G45310.1	3.4.22.16
Manes.04G053600	AT5G21070.1	0
Manes.04G161300	AT1G50380.1	3.4.21.83
Manes.01G022100	AT5G23090.2	0
Manes.03G033900	AT2G19520.1	0
Manes.07G020100	AT1G60950.1	0
Manes.13G039100	AT2G20360.1	1.6.5.3
Manes.05G064600	AT5G27690.1	0
Manes.04G146500	AT2G05840.1	3.4.25.1
Manes.08G033400	AT2G01820.1	2.7.11.1
Manes.04G149400	AT1G72370.1	0
Manes.09G039200	AT1G57860.1	0
Manes.09G069100	AT3G53400.1	0
Manes.14G052200	AT2G18110.1	0
Manes.16G077600	0	0
Manes.09G060000	AT2G36530.1	4.2.1.11
Manes.05G157100	AT5G42800.1	1.1.1.219,1.1.1.234
Manes.15G163900	AT4G34480.1	3.2.1.39
Manes.09G175600	AT2G47470.1	5.3.4.1
Manes.13G068000	AT1G11910.1	3.4.23.40
Manes.04G006200	AT3G44590.1	0
Manes.11G072300	AT1G12910.1	0
Manes.03G017500	AT5G11420.1	0
Manes.08G127300	AT4G14880.2	2.5.1.52,2.5.1.51,4.2.1.50,2.5.1.47
Manes.01G003200	AT4G14040.1	0
Manes.11G081600	AT4G34710.2	4.1.1.19
Manes.15G054000	AT3G24100.1	0
Manes.09G157100	AT4G14880.2	2.5.1.52,2.5.1.51,4.2.1.50,2.5.1.47
Manes.05G092800	0	0
Manes.16G127000	AT5G11000.1	0
Manes.06G110100	AT4G24690.1	0
Manes.01G106600	AT3G02470.4	4.1.1.50
Manes.03G088800	AT1G55210.2	0
Manes.07G140400	AT2G40510.1	0
Manes.13G033600	AT2G31200.1	0
Manes.02G034500	AT1G62790.1	0
Manes.15G027600	AT5G24510.1	0
Manes.03G060000	AT2G25760.1	2.7.11.1
