ID_manihot	ID_Arabidopsis  	KEGG/ec
Manes.16G060500	AT5G44800.1	3.6.4.12
Manes.18G120700	AT1G76690.1	1.3.1.42
Manes.09G119300	AT2G38650.2	2.4.1.43
Manes.05G140600	AT2G38010.1	3.5.1.23
Manes.02G151400	AT1G22360.1	2.4.1.324
Manes.15G016500	AT5G18660.1	1.3.1.75
Manes.15G089100	AT3G15220.1	2.7.11.1
Manes.01G198900	AT1G23870.1	2.4.1.15,3.1.3.12
Manes.07G098700	AT2G37040.1	4.3.1.24
Manes.02G107900	AT1G75900.1	3.1.1.3
Manes.05G102400	AT1G26820.1	3.1.27.1
Manes.04G116500	AT1G80210.1	3.4.19.12
Manes.01G201400	AT1G06790.1	2.7.7.6
Manes.01G043500	AT5G24530.1	1.14.11.9
Manes.13G142300	AT3G14690.1	1.14.13.173
Manes.06G027600	AT5G57655.2	5.3.1.5
Manes.04G040500	AT2G43360.1	2.8.1.6
Manes.17G013000	AT4G17830.1	3.5.1.16
Manes.04G093100	AT5G13960.1	2.1.1.43
Manes.15G182200	AT4G17770.1	2.4.1.15,3.1.3.12
Manes.14G059200	AT1G13080.1	1.14.13.121
Manes.01G256200	AT2G45910.1	2.7.11.1
Manes.15G069600	AT5G47750.1	2.7.11.1
Manes.06G076800	AT3G57030.1	4.3.3.2
Manes.08G003900	AT2G37090.1	2.4.2.24
Manes.12G005500	AT3G02780.1	5.3.3.2
Manes.03G060800	AT2G25870.1	3.1.3.23
Manes.15G163900	AT4G34480.1	3.2.1.39
Manes.15G058400	AT5G47750.1	2.7.11.1
Manes.05G132100	AT2G43790.1	2.7.11.24
Manes.08G056700	AT3G47930.1	1.3.2.3,1.6.5.3
Manes.S033500	AT5G21060.1	1.1.1.3
Manes.05G108500	AT3G29320.1	2.4.1.1
Manes.15G004800	AT3G66658.2	1.2.1.3
Manes.06G123000	AT5G51140.2	5.4.99.28
Manes.01G051700	AT5G41950.1	2.4.1.255
Manes.10G027700	AT3G55550.1	2.7.11.1
Manes.04G087000	AT4G39120.1	3.1.3.25,3.1.3.15
Manes.10G077200	AT1G47128.1	3.4.22.14
Manes.18G120400	AT1G76690.1	1.3.1.42
Manes.08G100700	AT1G27440.1	2.4.2.41
Manes.05G143200	AT4G38510.5	3.6.3.6
Manes.01G132400	AT3G58640.2	2.7.11.1
Manes.13G039100	AT2G20360.1	1.6.5.3
Manes.13G068000	AT1G11910.1	3.4.23.40
Manes.01G171400	AT5G59480.1	3.1.3.74
Manes.15G064900	AT5G55390.2	2.1.1.43
Manes.17G083500	AT2G01670.1	3.6.1.22,3.6.1.13
Manes.03G011200	AT4G32000.2	2.7.11.1
Manes.10G026400	AT3G11410.1	3.1.3.16
Manes.03G037800	AT5G13640.1	2.3.1.20,2.3.1.158
Manes.12G113200	AT5G67460.1	3.2.1.39
Manes.12G007900	AT5G13110.1	1.1.1.49
Manes.02G161800	AT1G44820.1	3.5.1.14
Manes.15G060800	AT1G55880.1	4.2.1.22
Manes.10G095900	AT2G14170.1	1.2.1.27
Manes.03G063400	AT2G37130.1	1.11.1.7
Manes.01G023200	AT1G74030.1	4.2.1.11
Manes.S080400	AT4G03280.1	1.10.9.1
Manes.08G142400	AT3G04290.1	3.1.1.3
Manes.15G123600	AT5G46180.1	2.6.1.13
Manes.03G099600	AT1G78680.1	3.4.19.9
Manes.04G025400	AT1G29900.1	6.3.5.5
Manes.15G015900	AT5G18640.1	3.1.1.3
Manes.05G087900	AT1G23870.1	2.4.1.15,3.1.3.12
Manes.12G032900	AT2G31140.1	3.4.21.89
Manes.15G172000	AT2G35320.1	3.1.3.48
Manes.05G020900	AT2G46580.1	1.4.3.5
Manes.09G157100	AT4G14880.2	2.5.1.52,2.5.1.51,4.2.1.50,2.5.1.47
Manes.13G085600	0	1.2.1.8
Manes.06G162500	AT3G21070.2	2.7.1.23,2.7.1.86
Manes.10G047500	AT2G37040.1	4.3.1.24
Manes.03G063300	AT2G37130.1	1.11.1.7
Manes.09G158200	AT1G54570.1	2.3.1.20,2.3.1.22
Manes.01G023900	AT5G08170.1	3.5.3.12
Manes.09G179700	AT1G09420.1	1.1.1.49
Manes.03G187800	AT3G06270.1	3.1.3.16
Manes.02G090800	AT3G58640.1	2.7.11.1
Manes.06G117700	AT5G60160.1	3.4.11.21
Manes.08G040900	AT3G58560.1	3.1.13.4
Manes.15G062500	AT3G26280.1	1.14.13.121
Manes.09G039500	AT3G58580.1	3.1.13.4
Manes.13G091100	AT2G22240.1	5.5.1.4
Manes.14G016000	AT4G03280.1	1.10.9.1
Manes.02G038200	AT4G17260.1	1.1.1.27
Manes.S027400	AT3G19450.1	1.1.1.195
