ID_manihot	ID_Arabidopsis  	KEGG/ec
Manes.16G060500	AT5G44800.1	3.6.4.12
Manes.15G089100	AT3G15220.1	2.7.11.1
Manes.08G029900	AT2G47140.1	1.1.1.331
Manes.14G061200	AT1G15530.1	2.7.11.1
Manes.02G151400	AT1G22360.1	2.4.1.324
Manes.01G136800	AT2G18260.1	2.7.7.3
Manes.09G000200	AT3G56650.1	1.10.3.9
Manes.02G155500	AT1G36160.1	6.4.1.2,6.3.4.14
Manes.13G154900	AT4G36480.2	2.3.1.50
Manes.03G048700	AT4G33030.1	3.13.1.1
Manes.10G026400	AT3G11410.1	3.1.3.16
Manes.01G241100	AT1G01140.1	2.7.11.1
Manes.10G066600	AT1G19190.1	4.2.1.105,3.1.1.1
Manes.11G144400	AT3G09770.1	6.3.2.19
Manes.09G179800	AT1G56700.2	3.4.19.3
Manes.05G011300	AT3G62260.2	3.1.3.16
Manes.12G004200	AT3G24090.1	2.6.1.16
Manes.04G130900	AT3G16190.1	3.5.1.110
Manes.15G141500	AT2G02090.1	3.6.4.12
Manes.02G049300	AT3G01090.2	2.7.11.1
Manes.02G080600	AT5G17310.2	2.7.7.9
Manes.16G081600	AT2G26170.1	5.3.99.5
Manes.15G136100	AT1G68020.2	2.4.1.15,3.1.3.12
Manes.16G045900	AT3G21220.1	2.7.12.2
Manes.08G014300	AT1G06560.1	2.1.1.178
Manes.11G105100	AT5G20950.1	3.2.1.58
Manes.01G264600	AT2G45510.1	1.14.13.109
Manes.03G212700	AT1G48300.1	2.3.1.20
Manes.12G050700	AT5G48570.1	5.2.1.8
Manes.06G061700	AT2G01290.1	5.3.1.6
Manes.10G045800	AT5G19290.1	2.3.1.22
Manes.04G127800	AT3G24550.1	2.7.11.1
Manes.14G031700	AT2G28100.1	3.2.1.51
Manes.14G056700	AT5G50260.1	3.4.22.6
Manes.13G118500	AT4G37250.1	2.7.11.1
Manes.01G201400	AT1G06790.1	2.7.7.6
Manes.01G233500	AT3G62220.1	2.7.11.1
Manes.11G075300	AT5G13930.1	2.3.1.74
Manes.05G143400	AT1G60420.1	1.8.1.8
Manes.11G072000	AT5G36880.2	6.2.1.1
Manes.05G108500	AT3G29320.1	2.4.1.1
Manes.18G001100	AT1G20950.1	2.7.1.90
Manes.18G119700	AT1G22800.1	2.1.1.197
Manes.11G057500	AT1G80050.1	2.4.2.7
Manes.02G147600	AT4G24380.1	1.5.1.3
Manes.11G144900	AT5G60640.1	5.3.4.1
Manes.13G136200	AT5G66680.1	2.4.99.18
Manes.15G182200	AT4G17770.1	2.4.1.15,3.1.3.12
Manes.09G135900	AT5G17770.1	1.6.2.2
Manes.13G122600	AT4G34050.1	2.1.1.104
Manes.06G036700	AT4G30960.1	2.7.11.1
Manes.17G122100	AT5G14780.1	1.2.1.2
Manes.13G137600	AT3G58610.2	1.1.1.86
Manes.16G000600	AT1G03475.1	1.3.3.3
Manes.05G043500	AT2G45500.1	3.6.4.3
Manes.13G043200	AT4G29040.1	3.4.25.1
Manes.01G171400	AT5G59480.1	3.1.3.74
Manes.06G148500	AT4G20850.1	3.4.14.10
Manes.14G112600	AT4G30960.1	2.7.11.1
