ID_manihot	ID_Arabidopsis  	KEGG/ec
Manes.17G063900	AT1G17020.1	1.14.11.32
Manes.03G040700	AT3G45310.1	3.4.22.16
Manes.05G102400	AT1G26820.1	3.1.27.1
Manes.03G086500	AT4G26330.1	3.4.14.10
Manes.01G198900	AT1G23870.1	2.4.1.15,3.1.3.12
Manes.09G158200	AT1G54570.1	2.3.1.20,2.3.1.22
Manes.06G076800	AT3G57030.1	4.3.3.2
Manes.08G049600	AT3G57520.1	2.4.1.82
Manes.02G018900	AT3G05170.1	3.1.3.3
Manes.05G097100	AT1G69830.1	3.2.1.1,3.2.1.141
Manes.07G070200	AT4G35220.1	3.5.1.9
Manes.16G095100	AT3G45310.1	3.4.22.16
Manes.14G118100	AT5G20410.1	2.4.1.46
Manes.04G093100	AT5G13960.1	2.1.1.43
Manes.01G117400	0	3.6.4.8
Manes.S012900	AT1G05690.1	2.3.1.48
Manes.09G039500	AT3G58580.1	3.1.13.4
Manes.17G053100	AT4G18480.1	6.6.1.1
Manes.07G070100	AT4G35220.1	3.5.1.9
Manes.07G055900	AT1G50030.1	2.7.11.1
Manes.06G152500	AT4G25720.1	2.3.2.5
Manes.17G013000	AT4G17830.1	3.5.1.16
Manes.15G182200	AT4G17770.1	2.4.1.15,3.1.3.12
Manes.13G110300	AT2G22900.1	2.4.2.39
Manes.06G122800	AT3G48730.1	5.4.3.8
Manes.17G032000	AT4G27290.1	2.7.11.1
Manes.01G027100	AT2G03640.2	3.6.4.13,3.6.4.12
Manes.10G077200	AT1G47128.1	3.4.22.14
Manes.02G161800	AT1G44820.1	3.5.1.14
Manes.15G115900	AT5G45670.1	3.1.1.3
Manes.18G041700	AT3G16150.1	3.5.1.1
Manes.03G135500	AT5G55280.1	3.6.5.6
Manes.02G107900	AT1G75900.1	3.1.1.3
Manes.S031800	AT1G32060.1	2.7.1.19
Manes.02G070600	AT5G38210.1	2.7.11.1
Manes.01G023200	AT1G74030.1	4.2.1.11
Manes.10G055200	AT5G04560.2	3.2.2.27
Manes.04G087000	AT4G39120.1	3.1.3.25,3.1.3.15
Manes.08G142400	AT3G04290.1	3.1.1.3
Manes.01G008800	AT2G44160.1	1.5.1.20
Manes.09G172200	AT3G05600.1	3.3.2.10
Manes.03G039700	AT2G06050.3	1.3.1.42
Manes.09G174400	AT1G09160.1	3.1.3.16
Manes.12G014300	AT5G08530.1	1.6.99.3,1.6.5.3
Manes.17G100600	AT4G34480.1	3.2.1.39
Manes.06G028100	AT4G15560.1	2.2.1.7
Manes.15G058400	AT5G47750.1	2.7.11.1
Manes.14G146000	AT4G25810.1	2.4.1.207
Manes.01G171400	AT5G59480.1	3.1.3.74
Manes.01G011500	AT5G38410.2	4.1.1.39
Manes.12G119000	AT5G65720.1	2.8.1.6,2.8.1.7
Manes.05G108200	AT5G61240.1	2.7.11.1
Manes.06G027900	AT4G39850.1	3.6.3.47
Manes.S025100	AT4G36760.1	3.4.11.9
Manes.03G063400	AT2G37130.1	1.11.1.7
Manes.18G033200	AT2G26560.1	3.1.1.26
Manes.04G071200	AT4G38510.5	3.6.3.6
Manes.18G116300	AT1G31230.1	1.1.1.3
Manes.16G000600	AT1G03475.1	1.3.3.3
Manes.18G018400	AT4G39090.1	3.4.22.41
Manes.13G068000	AT1G11910.1	3.4.23.40
Manes.03G063300	AT2G37130.1	1.11.1.7
Manes.10G052600	AT5G58330.1	1.1.1.82
Manes.09G145900	AT5G33370.1	3.1.1.3
Manes.13G102400	AT4G37970.1	1.1.1.195
Manes.08G052000	AT2G41530.1	3.1.2.12
Manes.06G100200	AT1G74920.1	1.2.1.8
Manes.02G030700	AT1G63000.1	1.1.1.133
Manes.09G007300	AT3G52990.1	2.7.1.40
Manes.S055900	AT4G25810.1	2.4.1.207
Manes.04G085600	AT4G39090.1	3.4.22.41
