id_manihot,id_arabidopsis,EC,KO,log2_fold_change,valor_p_ajustado
Manes.02G189600,AT2G38470.1,0,K13424,52.2059076871698,2.7333260754779294e-54
Manes.16G060500,AT5G44800.1,3.6.4.12,0,43.10424071521629,6.29748642196919e-56
Manes.15G152500,AT5G14420.4,0,K16280,34.3113688990236,3.99934975329229e-16
Manes.15G089100,AT3G15220.1,2.7.11.1,K08838,32.103044789513504,5.712362522829829e-33
Manes.06G094100,AT3G47640.2,0,0,29.8446495114469,9.04205254451909e-12
Manes.08G029900,AT2G47140.1,1.1.1.331,0,27.042056202494898,7.20465887470349e-07
Manes.14G061200,AT1G15530.1,2.7.11.1,0,26.3331203516005,0.0005725257856998361
Manes.09G163800,AT5G27400.1,0,K22696,24.978672838023897,2.7369689405487503e-10
Manes.01G195300,AT1G70150.1,0,K24081,21.4533176650795,1.0578276727816899e-08
Manes.01G059400,AT1G63670.1,0,0,21.0285774035405,3.62187148739779e-08
Manes.02G151400,AT1G22360.1,2.4.1.324,0,19.914006305648602,3.59216597754296e-05
Manes.18G059800,AT5G49700.1,0,0,19.4897099698902,0.000230343483624156
Manes.03G060700,AT2G25870.1,0,0,18.7853756531544,0.000265591564741604
Manes.09G004900,AT3G56710.1,0,0,16.0880383399093,3.0080912239305796e-09
Manes.11G149200,AT5G41020.1,0,0,15.623656365663098,2.28918709957325e-07
Manes.13G034000,AT1G65660.1,0,K12819,15.0268970392291,0.000719507780006728
Manes.09G031000,AT2G42280.1,0,0,14.7687033614659,0.0007361879416997741
Manes.12G045900,AT3G25030.1,0,0,14.2172594736871,0.00204263647646012
Manes.04G009100,AT2G27830.1,0,0,14.0359874475841,2.7585048827717e-16
Manes.16G125200,AT4G32060.1,0,K22827,13.887660488429999,3.6733553614867e-08
Manes.09G004200,AT1G80270.2,0,0,13.5476911090922,0.000216628369237765
Manes.14G003100,AT5G12840.1,0,K08064,13.329947169895501,0.00016321026969997
Manes.01G137600,AT4G36520.1,0,0,13.3037506276128,9.7944176028975e-06
Manes.16G023500,AT1G11112.1,0,0,13.159552423223698,3.28955183018003e-05
Manes.01G002500,AT1G05520.1,0,K14006,12.924906776613,1.5598206783043502e-12
Manes.04G142600,AT1G72830.1,0,K08064,12.762656195042501,1.50271683064098e-10
Manes.03G095300,AT1G79020.1,0,K11322,12.742794858740801,1.4896287212026298e-08
Manes.01G159000,AT2G21630.1,0,K14006,12.7095763573124,0.000365806928168472
Manes.15G187200,AT4G19100.1,0,0,12.5796633016692,3.3521355739803502e-06
Manes.01G136800,AT2G18260.1,2.7.7.3,K08486,12.5413611675585,1.54464783464224e-06
Manes.08G005600,AT1G61110.1,0,0,12.4299646501068,0.00303098931498135
Manes.02G041700,AT3G60410.1,0,0,12.3758124214037,0.00417954708696519
Manes.13G114000,AT5G67350.1,0,0,12.184465016874302,0.00891139866028355
Manes.14G129500,AT3G25910.1,0,0,12.124262037790698,0.0010354793783871302
Manes.09G000200,AT3G56650.1,1.10.3.9,0,12.0228744228198,2.09646018489141e-05
Manes.04G034300,AT5G02440.1,0,0,11.971389838073799,7.929863494214259e-07
Manes.04G068100,AT2G44065.2,0,0,11.788729049391,2.6887129473670398e-18
Manes.18G079600,AT1G01720.1,0,0,11.680252262499302,6.58782239927947e-07
Manes.06G147500,AT5G23760.1,0,0,11.6155416140574,4.07685230128017e-25
Manes.14G022200,AT4G25740.1,0,K02947,11.4453457446789,1.5237059416340898e-16
Manes.17G074300,AT5G37020.1,0,0,11.4338561778331,2.4325381093905102e-06
Manes.02G110400,AT2G17710.1,0,0,11.3472700625193,2.57585878924168e-15
Manes.03G048700,AT4G33030.1,3.13.1.1,K06118,11.262538884854902,2.1489223448291298e-18
Manes.14G023800,AT3G49080.1,0,K02996,11.1356962777428,0.00112400439548784
Manes.17G064300,AT4G18060.1,0,0,11.1274628904724,4.147845326104989e-09
Manes.01G106500,AT5G38720.1,0,K14545,11.087701836186199,6.89963773459513e-05
