ID_manihot	ID_Arabidopsis  	KEGG/ec
Manes.15G089100	AT3G15220.1	2.7.11.1
Manes.02G151400	AT1G22360.1	2.4.1.324
Manes.15G178000	AT3G28460.1	2.1.1.171
Manes.12G113200	AT5G67460.1	3.2.1.39
Manes.10G077200	AT1G47128.1	3.4.22.14
Manes.16G060500	AT5G44800.1	3.6.4.12
Manes.09G158200	AT1G54570.1	2.3.1.20,2.3.1.22
Manes.02G018900	AT3G05170.1	3.1.3.3
Manes.03G103900	AT5G54080.1	1.13.11.5
Manes.05G155000	AT1G45000.1	3.4.25.1
Manes.04G087000	AT4G39120.1	3.1.3.25,3.1.3.15
Manes.02G034000	AT1G62810.1	1.4.3.21
Manes.01G023900	AT5G08170.1	3.5.3.12
Manes.15G163900	AT4G34480.1	3.2.1.39
Manes.13G085600	0	1.2.1.8
Manes.06G076800	AT3G57030.1	4.3.3.2
Manes.04G093100	AT5G13960.1	2.1.1.43
Manes.09G039500	AT3G58580.1	3.1.13.4
Manes.02G107900	AT1G75900.1	3.1.1.3
Manes.18G041700	AT3G16150.1	3.5.1.1
Manes.08G014300	AT1G06560.1	2.1.1.178
Manes.14G016000	AT4G03280.1	1.10.9.1
Manes.S061400	AT5G65730.1	2.4.1.207,3.2.1.151
Manes.15G064900	AT5G55390.2	2.1.1.43
Manes.04G116500	AT1G80210.1	3.4.19.12
Manes.18G120400	AT1G76690.1	1.3.1.42
Manes.01G264600	AT2G45510.1	1.14.13.109
Manes.17G013000	AT4G17830.1	3.5.1.16
Manes.07G070200	AT4G35220.1	3.5.1.9
Manes.03G086600	AT5G56460.1	2.7.11.1
Manes.08G100700	AT1G27440.1	2.4.2.41
Manes.06G028100	AT4G15560.1	2.2.1.7
Manes.16G095100	AT3G45310.1	3.4.22.16
Manes.01G183300	AT4G27880.1	6.3.2.19
Manes.11G164000	AT2G27350.1	3.4.19.12
Manes.03G040700	AT3G45310.1	3.4.22.16
Manes.13G068000	AT1G11910.1	3.4.23.40
Manes.03G060800	AT2G25870.1	3.1.3.23
Manes.01G074100	AT4G12290.1	1.4.3.21
Manes.07G070100	AT4G35220.1	3.5.1.9
Manes.09G172200	AT3G05600.1	3.3.2.10
Manes.06G162500	AT3G21070.2	2.7.1.23,2.7.1.86
Manes.18G098000	AT1G34270.1	2.4.2.41
Manes.11G076300	AT5G13440.1	1.10.2.2
Manes.01G164200	AT2G29630.3	4.1.99.17
Manes.13G064000	AT3G07800.1	2.7.1.21
Manes.06G071000	AT1G25510.1	3.4.23.12
Manes.14G043900	AT5G61840.1	2.4.2.41
Manes.10G095900	AT2G14170.1	1.2.1.27
Manes.03G086500	AT4G26330.1	3.4.14.10
Manes.13G091100	AT2G22240.1	5.5.1.4
Manes.13G070400	AT2G05710.1	4.2.1.3
Manes.11G098400	AT4G38460.1	2.5.1.29
Manes.02G117100	AT5G63870.1	3.1.3.16
Manes.01G256200	AT2G45910.1	2.7.11.1
Manes.05G043500	AT2G45500.1	3.6.4.3
Manes.02G090500	AT2G43020.1	1.5.3.17
Manes.09G135900	AT5G17770.1	1.6.2.2
Manes.01G033700	AT2G03220.1	2.4.1.69
Manes.02G216800	AT2G30150.1	2.4.1.203
Manes.03G158100	AT4G13430.1	4.2.1.33
Manes.15G015900	AT5G18640.1	3.1.1.3
Manes.04G025400	AT1G29900.1	6.3.5.5
Manes.01G002900	AT2G32000.1	5.99.1.2
Manes.15G125500	AT4G21060.2	2.4.1.134
