id_manihot,id_arabidopsis,EC,KO,log2_fold_change,valor_p_ajustado
Manes.02G189600,AT2G38470.1,0,K13424,47.963225098691595,1.6506227340682798e-45
Manes.16G060500,AT5G44800.1,3.6.4.12,0,42.2250894149298,8.229257593621748e-54
Manes.15G152500,AT5G14420.4,0,K16280,39.548641056084,1.2019823114058299e-22
Manes.18G120700,AT1G76690.1,1.3.1.42,K05894,31.997554301363696,0.00567147580880595
Manes.09G119300,AT2G38650.2,2.4.1.43,K13648,31.689977866368398,0.0064452788788977
Manes.05G140600,AT2G38010.1,3.5.1.23,K12349,28.8845181292465,0.0017407740919606698
Manes.06G094100,AT3G47640.2,0,0,27.954161324886602,7.97641780395656e-10
Manes.03G060700,AT2G25870.1,0,0,27.4686532530373,1.0025283608103002e-08
Manes.09G163800,AT5G27400.1,0,K22696,27.354161517108,7.27088873414079e-12
Manes.02G151400,AT1G22360.1,2.4.1.324,0,26.888589725127698,2.7805414244038204e-09
Manes.01G059400,AT1G63670.1,0,0,26.802300796587602,3.148555011691789e-13
Manes.13G038200,AT1G04140.1,0,0,26.732145108044,1.56334652460858e-07
Manes.15G016500,AT5G18660.1,1.3.1.75,K19073,26.3964443382313,6.653067472993179e-15
Manes.01G195300,AT1G70150.1,0,K24081,23.2910899711375,3.13113258602362e-10
Manes.14G015600,AT1G79080.1,0,0,22.4439760601053,0.00280838686072537
Manes.15G089100,AT3G15220.1,2.7.11.1,K08838,21.348615972432302,1.28290745530574e-11
Manes.18G059800,AT5G49700.1,0,0,20.149262325284102,0.00035283125191202
Manes.01G198900,AT1G23870.1,"2.4.1.15,3.1.3.12",K16055,14.138500433270499,3.47835978389742e-05
Manes.02G209900,AT2G27040.1,0,K11593,12.854282586242899,8.45361285651499e-07
Manes.04G034300,AT5G02440.1,0,0,12.6132535226075,5.04705675539077e-07
Manes.07G139600,AT2G40540.2,0,K03549,12.1785838984589,5.83187422747237e-06
Manes.04G149300,AT1G72370.2,0,K02998,11.8454525189558,1.09813260301905e-20
Manes.04G154600,AT5G13860.1,0,K12183,11.7248114101081,5.3035482462876294e-05
Manes.08G010800,AT5G03415.1,0,K04683,11.7164791047946,8.81195303721302e-05
Manes.07G098700,AT2G37040.1,4.3.1.24,K10775,11.618837192887199,0.00116210679373615
Manes.15G192200,AT1G32160.1,0,0,11.529663224330802,0.0050626394351026
Manes.02G107900,AT1G75900.1,3.1.1.3,0,11.5135482947653,9.84738515005434e-08
Manes.05G102400,AT1G26820.1,3.1.27.1,K01166,11.474680605772901,1.4138076164269101e-05
Manes.04G089100,AT4G39230.1,0,K23050,11.346733267988698,0.00106392662321209
Manes.16G113000,AT4G29100.1,0,0,11.204746197772,1.18720305017093e-14
Manes.04G116500,AT1G80210.1,3.4.19.12,K11864,11.1768259222126,0.00027607792160212996
Manes.01G201400,AT1G06790.1,2.7.7.6,K03022,11.172377997978401,0.000110564931834003
Manes.01G043500,AT5G24530.1,1.14.11.9,K24028,11.0575179789282,2.6208660378119103e-11
Manes.07G126500,AT2G39990.1,0,K03249,11.034514295683,0.00289616822000211
Manes.01G028300,AT1G18650.1,0,0,11.002201397139098,6.07014564401806e-09
Manes.13G142300,AT3G14690.1,1.14.13.173,0,10.976785410869802,2.70812886906448e-05
Manes.06G027600,AT5G57655.2,5.3.1.5,K01805,10.9713615952281,7.659076807579891e-11
Manes.04G040500,AT2G43360.1,2.8.1.6,K01012,10.808992746870198,7.528622390829658e-11
Manes.05G064600,AT5G27690.1,0,0,10.740096542197001,2.4448482392598697e-18
Manes.12G116600,AT1G64700.1,0,0,10.7326580964652,0.00029818256917008197
Manes.08G136000,AT3G04710.1,0,0,10.715397887419599,6.42853277149326e-06
Manes.02G112700,AT5G66030.1,0,0,10.7088140526945,2.57170086065901e-10
Manes.17G013000,AT4G17830.1,3.5.1.16,K01438,10.700319798486,1.03902633667638e-07
Manes.04G093100,AT5G13960.1,2.1.1.43,0,10.698800573410901,1.10731676560644e-06
Manes.13G030600,AT1G70370.2,0,0,10.526982746020499,0.0013026630565662
Manes.15G182200,AT4G17770.1,"2.4.1.15,3.1.3.12",K16055,10.4724698746147,2.3047354578725e-07
Manes.14G059200,AT1G13080.1,1.14.13.121,K20617,10.435209044285099,3.802944890597129e-05
Manes.01G256200,AT2G45910.1,2.7.11.1,0,10.4340262335418,7.628211492828129e-09
Manes.15G069600,AT5G47750.1,2.7.11.1,K08286,10.432293246448301,0.00911424279241908
Manes.02G099900,AT4G36280.1,0,0,10.428086987105699,0.000760687923439075
