ID_manihot	ID_Arabidopsis  	KEGG/ec
Manes.16G060500	AT5G44800.1	3.6.4.12
Manes.18G120700	AT1G76690.1	1.3.1.42
Manes.14G061200	AT1G15530.1	2.7.11.1
Manes.08G029900	AT2G47140.1	1.1.1.331
Manes.02G151400	AT1G22360.1	2.4.1.324
Manes.15G089100	AT3G15220.1	2.7.11.1
Manes.15G016500	AT5G18660.1	1.3.1.75
Manes.03G187800	AT3G06270.1	3.1.3.16
Manes.01G201400	AT1G06790.1	2.7.7.6
Manes.06G076800	AT3G57030.1	4.3.3.2
Manes.01G023900	AT5G08170.1	3.5.3.12
Manes.10G027700	AT3G55550.1	2.7.11.1
Manes.15G182200	AT4G17770.1	2.4.1.15,3.1.3.12
Manes.04G093100	AT5G13960.1	2.1.1.43
Manes.04G127800	AT3G24550.1	2.7.11.1
Manes.01G204300	AT3G63340.1	3.1.3.16
Manes.12G151900	AT3G18750.3	2.7.11.1
Manes.05G108500	AT3G29320.1	2.4.1.1
Manes.12G112000	AT4G33910.1	1.14.11.2
Manes.05G020900	AT2G46580.1	1.4.3.5
Manes.15G172000	AT2G35320.1	3.1.3.48
Manes.18G120400	AT1G76690.1	1.3.1.42
Manes.17G013000	AT4G17830.1	3.5.1.16
Manes.12G032900	AT2G31140.1	3.4.21.89
Manes.01G171400	AT5G59480.1	3.1.3.74
Manes.S033500	AT5G21060.1	1.1.1.3
Manes.13G091100	AT2G22240.1	5.5.1.4
Manes.10G077200	AT1G47128.1	3.4.22.14
Manes.10G007300	AT3G56130.1	6.4.1.1
Manes.17G105400	AT5G14210.1	2.7.11.1
Manes.03G086500	AT4G26330.1	3.4.14.10
Manes.12G028300	AT1G10600.1	3.4.25.1
Manes.07G041700	AT2G22570.1	3.5.1.19
Manes.16G048300	AT4G37020.1	3.6.4.13
Manes.05G026500	AT3G61610.1	5.1.3.15
Manes.09G120000	AT3G08590.1	5.4.2.12,5.4.2.11
Manes.06G058300	AT5G63890.1	1.1.1.23
Manes.05G172200	AT1G47380.1	3.1.3.16
Manes.06G071000	AT1G25510.1	3.4.23.12
Manes.16G102100	AT4G29720.1	1.5.3.17
Manes.01G125200	AT1G07650.1	2.7.11.1
Manes.03G063300	AT2G37130.1	1.11.1.7
Manes.13G122600	AT4G34050.1	2.1.1.104
Manes.05G060700	AT2G44530.1	2.7.6.1
Manes.15G123600	AT5G46180.1	2.6.1.13
Manes.12G038500	AT1G04120.1	3.6.3.44
Manes.03G139200	AT3G26230.1	1.14.13.121
Manes.15G015900	AT5G18640.1	3.1.1.3
Manes.14G104300	AT1G25350.1	6.1.1.18
Manes.08G025500	AT2G36230.1	5.3.1.16
Manes.15G163900	AT4G34480.1	3.2.1.39
Manes.04G040500	AT2G43360.1	2.8.1.6
Manes.01G233500	AT3G62220.1	2.7.11.1
Manes.04G073800	AT5G11880.1	4.1.1.20
Manes.13G147900	AT4G02340.1	3.3.2.10
Manes.13G142300	AT3G14690.1	1.14.13.173
Manes.09G143000	AT5G56350.1	2.7.1.40
Manes.02G117100	AT5G63870.1	3.1.3.16
Manes.03G211600	AT3G06483.1	2.7.11.2
Manes.05G006300	AT1G02305.1	3.4.22.1
Manes.11G154400	AT5G22860.1	3.4.16.2
Manes.04G000700	AT5G22300.1	3.5.5.4,3.5.5.1,4.2.1.65
Manes.16G084600	AT5G19530.1	2.5.1.16
Manes.02G144500	AT4G24510.1	2.3.1.144
Manes.08G114600	AT5G27930.2	3.1.3.16
Manes.16G057300	AT1G56145.1	2.7.11.1
Manes.13G068000	AT1G11910.1	3.4.23.40
Manes.04G078800	AT4G38800.1	3.2.2.16
Manes.02G178700	AT1G43670.1	3.1.3.11
Manes.17G053100	AT4G18480.1	6.6.1.1
Manes.09G113900	AT3G08840.2	6.3.2.4
Manes.04G087000	AT4G39120.1	3.1.3.25,3.1.3.15
Manes.03G191800	AT5G18640.1	3.1.1.3
Manes.10G095900	AT2G14170.1	1.2.1.27
Manes.01G023200	AT1G74030.1	4.2.1.11
Manes.01G120000	AT5G37540.1	3.4.23.12
Manes.09G157100	AT4G14880.2	2.5.1.52,2.5.1.51,4.2.1.50,2.5.1.47
Manes.01G265800	AT3G60820.3	3.4.25.1
Manes.01G106600	AT3G02470.4	4.1.1.50
Manes.03G037800	AT5G13640.1	2.3.1.20,2.3.1.158
Manes.01G132400	AT3G58640.2	2.7.11.1
Manes.07G070200	AT4G35220.1	3.5.1.9
Manes.14G118100	AT5G20410.1	2.4.1.46
Manes.07G141600	AT3G10850.1	3.1.2.6
Manes.S031800	AT1G32060.1	2.7.1.19
Manes.09G172200	AT3G05600.1	3.3.2.10
