ID_manihot	ID_Arabidopsis  	KEGG/ec
Manes.16G060500	AT5G44800.1	3.6.4.12
Manes.14G061200	AT1G15530.1	2.7.11.1
Manes.02G151400	AT1G22360.1	2.4.1.324
Manes.10G023600	AT4G38040.1	2.4.2.41
Manes.18G120700	AT1G76690.1	1.3.1.42
Manes.08G029900	AT2G47140.1	1.1.1.331
Manes.05G140600	AT2G38010.1	3.5.1.23
Manes.15G016500	AT5G18660.1	1.3.1.75
Manes.15G005700	AT3G16950.1	1.8.1.4
Manes.03G202500	AT3G16950.1	1.8.1.4
Manes.17G013000	AT4G17830.1	3.5.1.16
Manes.02G127400	AT5G23070.1	2.7.1.21
Manes.15G163900	AT4G34480.1	3.2.1.39
Manes.06G076800	AT3G57030.1	4.3.3.2
Manes.12G151900	AT3G18750.3	2.7.11.1
Manes.09G039500	AT3G58580.1	3.1.13.4
Manes.06G148500	AT4G20850.1	3.4.14.10
Manes.15G182200	AT4G17770.1	2.4.1.15,3.1.3.12
Manes.13G119500	AT5G43060.1	3.4.22.14
Manes.04G087000	AT4G39120.1	3.1.3.25,3.1.3.15
Manes.16G044500	AT1G53430.2	2.7.11.1
Manes.13G085600	0	1.2.1.8
Manes.01G132400	AT3G58640.2	2.7.11.1
Manes.14G130600	AT1G15410.1	5.1.1.13
Manes.17G063900	AT1G17020.1	1.14.11.32
Manes.01G023900	AT5G08170.1	3.5.3.12
Manes.02G023500	AT1G63430.1	2.7.11.1
Manes.09G158200	AT1G54570.1	2.3.1.20,2.3.1.22
Manes.05G102400	AT1G26820.1	3.1.27.1
Manes.02G018900	AT3G05170.1	3.1.3.3
Manes.10G027700	AT3G55550.1	2.7.11.1
Manes.01G171400	AT5G59480.1	3.1.3.74
Manes.06G058300	AT5G63890.1	1.1.1.23
Manes.02G107900	AT1G75900.1	3.1.1.3
Manes.02G038200	AT4G17260.1	1.1.1.27
Manes.08G106300	AT5G26710.1	6.1.1.17
Manes.04G040500	AT2G43360.1	2.8.1.6
Manes.13G118500	AT4G37250.1	2.7.11.1
Manes.10G095900	AT2G14170.1	1.2.1.27
Manes.16G102100	AT4G29720.1	1.5.3.17
Manes.02G147600	AT4G24380.1	1.5.1.3
Manes.12G005500	AT3G02780.1	5.3.3.2
Manes.09G143000	AT5G56350.1	2.7.1.40
Manes.08G022600	AT3G09970.1	3.1.3.16
Manes.01G223600	AT2G19570.1	3.5.4.5
Manes.13G068000	AT1G11910.1	3.4.23.40
Manes.10G077200	AT1G47128.1	3.4.22.14
Manes.18G120400	AT1G76690.1	1.3.1.42
Manes.05G087900	AT1G23870.1	2.4.1.15,3.1.3.12
Manes.10G122900	AT1G22940.1	2.5.1.3,2.7.1.49,2.7.4.7
Manes.08G008400	AT3G53260.1	4.3.1.24
Manes.01G076900	AT1G62640.1	2.3.1.180
Manes.01G097900	AT5G15490.1	1.1.1.22
Manes.08G040900	AT3G58560.1	3.1.13.4
Manes.01G201400	AT1G06790.1	2.7.7.6
Manes.11G012800	AT3G14290.1	3.4.25.1
Manes.03G211600	AT3G06483.1	2.7.11.2
Manes.13G091100	AT2G22240.1	5.5.1.4
Manes.08G025500	AT2G36230.1	5.3.1.16
Manes.11G015800	AT3G14160.1	1.14.11.33
Manes.02G049300	AT3G01090.2	2.7.11.1
Manes.04G116500	AT1G80210.1	3.4.19.12
Manes.03G086500	AT4G26330.1	3.4.14.10
Manes.S080400	AT4G03280.1	1.10.9.1
Manes.14G056700	AT5G50260.1	3.4.22.6
Manes.11G154400	AT5G22860.1	3.4.16.2
Manes.06G147600	AT5G23850.1	2.4.2.26
Manes.S033500	AT5G21060.1	1.1.1.3
Manes.04G078800	AT4G38800.1	3.2.2.16
Manes.05G143400	AT1G60420.1	1.8.1.8
Manes.06G061700	AT2G01290.1	5.3.1.6
Manes.10G052600	AT5G58330.1	1.1.1.82
Manes.03G063300	AT2G37130.1	1.11.1.7
Manes.10G026400	AT3G11410.1	3.1.3.16
Manes.03G027700	AT5G19740.1	3.4.17.11
Manes.S027400	AT3G19450.1	1.1.1.195
Manes.11G081600	AT4G34710.2	4.1.1.19
Manes.09G179700	AT1G09420.1	1.1.1.49
Manes.03G141300	AT5G47650.1	3.6.1.22,3.6.1.53,3.6.1.13
Manes.17G100600	AT4G34480.1	3.2.1.39
Manes.01G236900	AT1G02305.1	3.4.22.1
Manes.01G084700	AT3G60340.2	3.1.2.22
Manes.05G097100	AT1G69830.1	3.2.1.1,3.2.1.141
Manes.13G133400	AT5G19440.1	1.1.1.195
Manes.03G063400	AT2G37130.1	1.11.1.7
Manes.09G157100	AT4G14880.2	2.5.1.52,2.5.1.51,4.2.1.50,2.5.1.47
Manes.02G090800	AT3G58640.1	2.7.11.1
Manes.01G125200	AT1G07650.1	2.7.11.1
Manes.02G117100	AT5G63870.1	3.1.3.16
Manes.18G060600	AT4G24620.1	5.3.1.9
Manes.01G074100	AT4G12290.1	1.4.3.21
Manes.02G022900	AT5G41210.1	2.5.1.18
Manes.S060300	AT1G51410.1	1.1.1.195
Manes.01G233500	AT3G62220.1	2.7.11.1
Manes.14G017800	AT5G53140.1	3.1.3.16
Manes.06G015800	AT5G49760.1	2.7.11.1
Manes.08G100700	AT1G27440.1	2.4.2.41
Manes.05G189000	AT4G24450.1	2.7.9.4
Manes.12G113200	AT5G67460.1	3.2.1.39
Manes.15G136300	AT1G67980.1	2.1.1.104
Manes.06G132400	AT5G61540.1	3.5.1.26
Manes.15G141500	AT2G02090.1	3.6.4.12
Manes.01G134800	AT5G66760.1	1.3.5.1
Manes.15G068900	AT1G11910.1	3.4.23.40
Manes.07G091500	AT3G11710.1	6.1.1.6
Manes.14G016000	AT4G03280.1	1.10.9.1
Manes.02G056700	AT5G39040.1	3.6.3.43
Manes.14G118100	AT5G20410.1	2.4.1.46
Manes.08G142400	AT3G04290.1	3.1.1.3
Manes.07G009700	AT1G51410.1	1.1.1.195
Manes.15G062500	AT3G26280.1	1.14.13.121
Manes.01G117400	0	3.6.4.8
Manes.11G144700	AT5G60600.1	1.17.7.1
Manes.03G074000	AT1G31070.2	2.7.7.83,2.7.7.23
Manes.11G153700	AT2G27920.1	3.4.16.5
Manes.01G057400	AT1G63940.2	1.6.5.4
Manes.01G153800	AT4G35630.1	2.6.1.52
Manes.09G113900	AT3G08840.2	6.3.2.4
Manes.01G018600	AT3G03080.1	1.1.1.54,1.3.1.74,1.3.1.102
Manes.18G021300	AT1G45000.2	3.4.25.1
Manes.16G095100	AT3G45310.1	3.4.22.16
Manes.03G158100	AT4G13430.1	4.2.1.33
Manes.03G212700	AT1G48300.1	2.3.1.20
Manes.01G217300	AT4G02480.1	3.6.1.3
Manes.S096100	AT1G45000.1	3.4.25.1
Manes.16G016400	AT1G61720.1	1.3.1.77
Manes.S094200	AT3G29360.1	1.1.1.22
Manes.05G070500	AT3G63010.1	3.1.1.1
Manes.09G172200	AT3G05600.1	3.3.2.10
Manes.03G187800	AT3G06270.1	3.1.3.16
Manes.05G089300	AT1G19190.1	3.1.1.1
Manes.01G008800	AT2G44160.1	1.5.1.20
Manes.08G127300	AT4G14880.2	2.5.1.52,2.5.1.51,4.2.1.50,2.5.1.47
Manes.03G040700	AT3G45310.1	3.4.22.16
Manes.14G043900	AT5G61840.1	2.4.2.41
Manes.05G143200	AT4G38510.5	3.6.3.6
Manes.S025100	AT4G36760.1	3.4.11.9
Manes.S029900	AT4G38690.1	3.1.4.11,4.6.1.13
Manes.01G043500	AT5G24530.1	1.14.11.9
Manes.14G153800	AT4G25840.1	3.1.3.21
Manes.10G045200	AT1G48850.1	4.2.3.5
Manes.S012900	AT1G05690.1	2.3.1.48
Manes.03G117700	AT3G20630.1	3.4.19.12
Manes.06G152500	AT4G25720.1	2.3.2.5
Manes.04G116000	AT5G65550.1	2.4.1.273
Manes.18G033200	AT2G26560.1	3.1.1.26
Manes.06G081300	AT5G08100.1	3.4.19.5
Manes.13G149900	AT2G20860.1	2.8.1.8
Manes.09G175600	AT2G47470.1	5.3.4.1
Manes.01G256200	AT2G45910.1	2.7.11.1
Manes.06G117700	AT5G60160.1	3.4.11.21
Manes.16G022700	AT4G21620.1	2.7.11.1
Manes.13G147900	AT4G02340.1	3.3.2.10
Manes.S031800	AT1G32060.1	2.7.1.19
Manes.04G071200	AT4G38510.5	3.6.3.6
Manes.04G101700	AT5G48930.1	2.3.1.133
Manes.15G058400	AT5G47750.1	2.7.11.1
Manes.18G018400	AT4G39090.1	3.4.22.41
Manes.07G070200	AT4G35220.1	3.5.1.9
Manes.03G001100	AT4G31300.1	3.4.25.1
