ID_manihot	ID_Arabidopsis  	KEGG/ec
Manes.16G060500	AT5G44800.1	3.6.4.12
Manes.02G151400	AT1G22360.1	2.4.1.324
Manes.15G089100	AT3G15220.1	2.7.11.1
Manes.15G016500	AT5G18660.1	1.3.1.75
Manes.17G013000	AT4G17830.1	3.5.1.16
Manes.07G098700	AT2G37040.1	4.3.1.24
Manes.04G116500	AT1G80210.1	3.4.19.12
Manes.15G064900	AT5G55390.2	2.1.1.43
Manes.13G085600	0	1.2.1.8
Manes.12G113200	AT5G67460.1	3.2.1.39
Manes.12G092800	AT1G06290.1	1.3.3.6
Manes.09G158200	AT1G54570.1	2.3.1.20,2.3.1.22
Manes.18G041700	AT3G16150.1	3.5.1.1
Manes.13G133900	AT5G19440.1	1.1.1.195
Manes.10G077200	AT1G47128.1	3.4.22.14
Manes.15G067000	AT5G55180.1	3.2.1.39
Manes.11G098400	AT4G38460.1	2.5.1.29
Manes.04G040500	AT2G43360.1	2.8.1.6
Manes.06G148500	AT4G20850.1	3.4.14.10
Manes.04G125700	AT1G11300.1	2.7.11.1
Manes.05G008200	AT4G01690.1	1.3.3.4
Manes.09G039500	AT3G58580.1	3.1.13.4
Manes.11G081600	AT4G34710.2	4.1.1.19
Manes.02G041600	AT4G16760.1	1.3.3.6
Manes.15G163900	AT4G34480.1	3.2.1.39
Manes.02G178700	AT1G43670.1	3.1.3.11
Manes.18G116300	AT1G31230.1	1.1.1.3
Manes.09G007300	AT3G52990.1	2.7.1.40
Manes.12G132300	AT1G22380.1	2.4.1.85
Manes.05G056000	AT4G09320.1	2.7.4.6
