ID	ID Arabidopsis	KEGG/ec
Manes.15G089100	AT3G15220.1	2.7.11.1
Manes.02G151400	AT1G22360.1	2.4.1.324
Manes.08G029900	AT2G47140.1	1.1.1.331
Manes.05G140600	AT2G38010.1	3.5.1.23
Manes.16G060500	AT5G44800.1	3.6.4.12
Manes.15G016500	AT5G18660.1	1.3.1.75
Manes.04G093100	AT5G13960.1	2.1.1.43
Manes.01G204300	AT3G63340.1	3.1.3.16
Manes.06G076800	AT3G57030.1	4.3.3.2
Manes.15G067000	AT5G55180.1	3.2.1.39
Manes.12G113200	AT5G67460.1	3.2.1.39
Manes.05G108500	AT3G29320.1	2.4.1.1
Manes.17G013000	AT4G17830.1	3.5.1.16
Manes.03G187800	AT3G06270.1	3.1.3.16
Manes.11G081600	AT4G34710.2	4.1.1.19
Manes.01G262300	AT2G06850.1	2.4.1.207
Manes.13G122600	AT4G34050.1	2.1.1.104
Manes.08G003900	AT2G37090.1	2.4.2.24
Manes.12G112000	AT4G33910.1	1.14.11.2
Manes.14G059200	AT1G13080.1	1.14.13.121
Manes.16G095100	AT3G45310.1	3.4.22.16
Manes.10G027700	AT3G55550.1	2.7.11.1
Manes.15G163900	AT4G34480.1	3.2.1.39
Manes.02G018900	AT3G05170.1	3.1.3.3
Manes.13G085600	0	1.2.1.8
Manes.12G028300	AT1G10600.1	3.4.25.1
Manes.03G086600	AT5G56460.1	2.7.11.1
Manes.06G123000	AT5G51140.2	5.4.99.28
Manes.03G211600	AT3G06483.1	2.7.11.2
Manes.03G040700	AT3G45310.1	3.4.22.16
Manes.01G132400	AT3G58640.2	2.7.11.1
Manes.01G198900	AT1G23870.1	2.4.1.15,3.1.3.12
Manes.01G023900	AT5G08170.1	3.5.3.12
Manes.03G191800	AT5G18640.1	3.1.1.3
Manes.S033500	AT5G21060.1	1.1.1.3
Manes.03G100400	AT1G78800.1	2.4.1.132,2.4.1.257
Manes.11G012800	AT3G14290.1	3.4.25.1
Manes.01G074100	AT4G12290.1	1.4.3.21
Manes.06G162500	AT3G21070.2	2.7.1.23,2.7.1.86
Manes.04G000700	AT5G22300.1	3.5.5.4,3.5.5.1,4.2.1.65
Manes.03G206800	AT3G06580.1	2.7.1.6,5.1.3.2
Manes.01G171400	AT5G59480.1	3.1.3.74
Manes.02G090800	AT3G58640.1	2.7.11.1
Manes.12G005500	AT3G02780.1	5.3.3.2
Manes.04G083000	AT4G34710.2	4.1.1.19
Manes.03G139100	AT3G26300.1	1.14.13.121
Manes.03G063300	AT2G37130.1	1.11.1.7
Manes.09G172200	AT3G05600.1	3.3.2.10
Manes.05G006300	AT1G02305.1	3.4.22.1
Manes.17G107500	AT3G27320.1	3.1.1.1
Manes.01G265800	AT3G60820.3	3.4.25.1
Manes.08G127200	AT3G04940.1	2.5.1.47
Manes.06G058300	AT5G63890.1	1.1.1.23
Manes.04G127800	AT3G24550.1	2.7.11.1
Manes.16G011700	AT1G11545.1	2.4.1.207
Manes.10G077200	AT1G47128.1	3.4.22.14
Manes.03G117700	AT3G20630.1	3.4.19.12
Manes.15G136300	AT1G67980.1	2.1.1.104
Manes.03G063400	AT2G37130.1	1.11.1.7
Manes.17G100600	AT4G34480.1	3.2.1.39
Manes.16G000600	AT1G03475.1	1.3.3.3
Manes.18G060600	AT4G24620.1	5.3.1.9
Manes.05G026500	AT3G61610.1	5.1.3.15
Manes.04G146500	AT2G05840.1	3.4.25.1
Manes.01G201400	AT1G06790.1	2.7.7.6
