Pathway-id	Pathway-name	Reaction-id	EC	Protein-id	Protein-name	Gene-id	Gene-name
PWY-5143	long-chain fatty acid activation	RXN-7904	EC-6.2.1.3	G2Z-6776-MONOMER	acyl-CoA synthetase	G2Z-6776	Manes.01G230600
PWY-5143	long-chain fatty acid activation	RXN-7904	EC-6.2.1.3	G2Z-6885-MONOMER	acyl-CoA synthetase	G2Z-6885	Manes.02G010300
PWY-5143	long-chain fatty acid activation	RXN-7904	EC-6.2.1.3	G2Z-7192-MONOMER	acyl-CoA synthetase	G2Z-7192	Manes.02G162800
PWY-5143	long-chain fatty acid activation	RXN-7904	EC-6.2.1.3	G2Z-7680-MONOMER	acyl-CoA synthetase	G2Z-7680	Manes.03G180700
PWY-5143	long-chain fatty acid activation	RXN-7904	EC-6.2.1.3	G2Z-8070-MONOMER	acyl-CoA synthetase	G2Z-8070	Manes.05G012700
PWY-5143	long-chain fatty acid activation	RXN-7904	EC-6.2.1.3	G2Z-9723-MONOMER	acyl-CoA synthetase	G2Z-9723	Manes.09G167400
PWY-5143	long-chain fatty acid activation	RXN-7904	EC-6.2.1.3	G2Z-10111-MONOMER	acyl-CoA synthetase	G2Z-10111	Manes.11G037400
PWY-5143	long-chain fatty acid activation	RXN-7904	EC-6.2.1.3	G2Z-10361-MONOMER	acyl-CoA synthetase	G2Z-10361	Manes.12G010100
PWY-5143	long-chain fatty acid activation	RXN-7904	EC-6.2.1.3	G2Z-10674-MONOMER	acyl-CoA synthetase	G2Z-10674	Manes.13G010800
PWY-5143	long-chain fatty acid activation	RXN-7904	EC-6.2.1.3	G2Z-10771-MONOMER	acyl-CoA synthetase	G2Z-10771	Manes.13G060600
PWY-5143	long-chain fatty acid activation	RXN-7904	EC-6.2.1.3	G2Z-11365-MONOMER	acyl-CoA synthetase	G2Z-11365	Manes.15G026900
PWY-5143	long-chain fatty acid activation	RXN-7904	EC-6.2.1.3	G2Z-12163-MONOMER	acyl-CoA synthetase	G2Z-12163	Manes.17G097400
PWY-5143	long-chain fatty acid activation	RXN-7904	EC-6.2.1.3	G2Z-12366-MONOMER	acyl-CoA synthetase	G2Z-12366	Manes.18G076900
PWY-5143	long-chain fatty acid activation	RXN-7904	EC-6.2.1.3	G2Z-12494-MONOMER	acyl-CoA synthetase	G2Z-12494	Manes.S001600
PWY-5143	long-chain fatty acid activation	RXN-7904	EC-6.2.1.3	G2Z-11334-MONOMER		G2Z-11334	Manes.15G006200
PWY-5143	long-chain fatty acid activation	RXN-7904	EC-6.2.1.3	G2Z-11333-MONOMER		G2Z-11333	Manes.15G006100
PWY-5143	long-chain fatty acid activation	RXN-7904	EC-6.2.1.3	G2Z-10924-MONOMER		G2Z-10924	Manes.13G135800
PWY-5143	long-chain fatty acid activation	RXN-7904	EC-6.2.1.3	G2Z-10535-MONOMER		G2Z-10535	Manes.12G098900
PWY-5143	long-chain fatty acid activation	RXN-7904	EC-6.2.1.3	G2Z-9978-MONOMER		G2Z-9978	Manes.10G130400
