PWY-7560	methylerythritol phosphate pathway II	RXN0-882	EC-1.17.7.1	G2Z-10306-MONOMER	4-hydroxy-3-methylbut-2-en-1-yl diphosphate synthase	G2Z-10306	Manes.11G144700
PWY-7560	methylerythritol phosphate pathway II	DXPREDISOM-RXN	EC-1.1.1.267	G2Z-8658-MONOMER	1-deoxy-D-xylulose 5-phosphate reductoisomerase	G2Z-8658	Manes.06G104700
PWY-5114	UDP-sugars interconversion	PWY-7346	-	G2Z-6538-MONOMER		G2Z-6538	Manes.01G097900
PWY-5114	UDP-sugars interconversion	PWY-7346	-	G2Z-11131-MONOMER		G2Z-11131	Manes.14G084200
PWY-5114	UDP-sugars interconversion	PWY-7346	-	G2Z-12646-MONOMER		G2Z-12646	Manes.S094200
PWY-5114	UDP-sugars interconversion	PWY-5113	-	G2Z-7752-MONOMER		G2Z-7752	Manes.04G010600
PWY-6959	L-ascorbate degradation V	RXN-12440	EC-1.11.1.11	G2Z-7782-MONOMER	<small>L</small>-ascorbate peroxidase	G2Z-7782	Manes.04G026800
PWY-6959	L-ascorbate degradation V	RXN-12440	EC-1.11.1.11	G2Z-10300-MONOMER	<small>L</small>-ascorbate peroxidase	G2Z-10300	Manes.11G139700
PWY-2261	ascorbate glutathione cycle	RXN-3521	-	G2Z-7782-MONOMER	L-ascorbate peroxidase	G2Z-7782	Manes.04G026800
PWY-2261	ascorbate glutathione cycle	RXN-3521	-	G2Z-10300-MONOMER	L-ascorbate peroxidase	G2Z-10300	Manes.11G139700
OXIDATIVEPENT-PWY	pentose phosphate pathway (oxidative branch) I	GLU6PDEHYDROG-RXN	EC-1.1.1.49	G2Z-11625-MONOMER	NADP<sup>+</sup>-dependent glucose-6-phosphate dehydrogenase	G2Z-11625	Manes.15G156500
NONOXIPENT-PWY	pentose phosphate pathway (non-oxidative branch)	RIB5PISOM-RXN	EC-5.3.1.6	G2Z-8580-MONOMER	ribose-5-phosphate isomerase	G2Z-8580	Manes.06G061700
CALVIN-PWY	Calvin-Benson-Bassham cycle	RIB5PISOM-RXN	EC-5.3.1.6	G2Z-8580-MONOMER	ribose-5-phosphate isomerase	G2Z-8580	Manes.06G061700
