ID_manihot	ID_Arabidopsis  	KEGG/ec
Manes.05G033400	AT2G45970.1	1.14.14.1
Manes.14G061200	AT1G15530.1	2.7.11.1
Manes.08G029900	AT2G47140.1	1.1.1.331
Manes.01G183300	AT4G27880.1	6.3.2.19
Manes.01G107700	AT5G38630.1	1.16.5.1
Manes.08G117500	AT3G05510.1	2.3.1.23
Manes.03G061500	AT5G57850.1	4.1.3.38
Manes.08G004100	AT5G03080.1	3.1.3.4
Manes.S055900	AT4G25810.1	2.4.1.207
Manes.15G067700	AT4G26850.1	2.7.7.69
Manes.16G007300	AT4G21960.1	1.11.1.7
Manes.10G008900	AT2G40300.1	1.16.3.1
Manes.06G085500	AT5G07990.1	1.14.13.21
Manes.18G116300	AT1G31230.1	1.1.1.3
Manes.14G145700	AT4G25810.1	2.4.1.207
Manes.09G007300	AT3G52990.1	2.7.1.40
Manes.03G060000	AT2G25760.1	2.7.11.1
