id_manihot,id_arabidopsis,EC,KO,log2_fold_change,valor_p_ajustado
Manes.15G089100,AT3G15220.1,2.7.11.1,K08838,26.708284605904698,1.3952503958735e-21
Manes.14G015600,AT1G79080.1,0,0,20.653427301943,0.00644769186344127
Manes.18G059800,AT5G49700.1,0,0,19.5792756078157,0.00048201506495427804
Manes.15G016500,AT5G18660.1,1.3.1.75,K19073,17.7374495716747,4.29247950543126e-06
Manes.02G189600,AT2G38470.1,0,K13424,17.5979977303605,1.84950425582537e-05
Manes.18G013500,AT1G19980.1,0,0,16.4444998821967,1.1896317179815002e-48
Manes.05G096900,AT5G62740.1,0,0,15.9369710843601,2.99037057800341e-18
Manes.05G110700,AT1G18650.1,0,0,13.453931237448002,6.773455608583271e-15
Manes.16G060500,AT5G44800.1,3.6.4.12,0,13.0350610646537,0.00022680577532472798
Manes.14G021900,AT1G01490.2,0,0,11.825463441504299,1.641809124059e-07
Manes.01G189500,AT1G27000.1,0,0,11.445734385950901,1.40354094385279e-08
Manes.11G026000,AT3G13850.1,0,0,10.1809281461355,4.497445522472329e-06
Manes.15G068900,AT1G11910.1,3.4.23.40,K08245,9.23409567730845,7.58557598253808e-10
Manes.01G275000,AT1G53820.1,0,0,9.08313335594684,9.82972638463967e-11
Manes.14G052200,AT2G18110.1,0,K03232,8.957073557723401,1.4516477040216101e-08
Manes.14G160700,0,0,0,8.76727585067319,2.0255467875703897e-05
Manes.05G119900,AT1G19260.1,0,0,8.76037589669909,6.60597601704351e-06
Manes.05G030000,AT1G01490.1,0,0,8.74275835447658,6.33644688505634e-08
Manes.01G183300,AT4G27880.1,6.3.2.19,K04506,8.62976636911156,0.000979415675728448
Manes.04G140100,AT3G13850.1,0,0,8.52868786152464,1.20020867057301e-05
Manes.14G159800,AT5G57250.1,0,0,8.24008921907898,0.000591965341093671
Manes.14G084400,AT5G62380.1,0,0,7.930412828550611,0.0010150966954865302
Manes.09G131700,AT5G17600.1,0,0,7.708240789642709,2.0850349902788298e-05
Manes.01G184000,AT5G24300.1,2.4.1.21,K00703,7.61540400951362,0.000409823734756255
Manes.06G118500,AT2G18110.1,0,K03232,7.45176036724782,3.5547384346548705e-05
Manes.08G083400,AT3G54040.1,0,0,7.45022709882578,0.005464629833161871
Manes.06G092300,0,0,0,7.42682284511919,0.00557673695477366
Manes.08G004100,AT5G03080.1,3.1.3.4,K07252,7.264497848222621,0.0013417357833868401
Manes.17G058000,AT2G34200.1,0,0,7.25960262039603,6.76781175624915e-05
Manes.10G034500,AT3G55410.1,1.2.4.2,K00164,7.2555256220152105,0.0011040115381511
Manes.13G083700,AT1G43850.1,0,0,7.15999109153478,9.507511935577591e-05
Manes.02G109200,AT4G35100.2,0,K09872,6.65906621508942,0.00560243532547203
Manes.01G033600,AT1G26740.1,0,K02911,6.435012557453559,0.00586728585278047
Manes.03G195100,AT2G47770.1,0,K05770,6.27871678599821,1.3337015288685e-06
Manes.03G064600,AT5G25560.1,6.3.2.19,K10144,6.222216341006759,0.000262654384070416
Manes.16G137700,AT4G31290.1,0,K22596,6.03504171872578,0.00113770857477953
Manes.17G099000,AT3G18860.1,0,K14018,5.98898350714388,0.000228221355048443
Manes.09G039200,AT1G57860.1,0,K02889,5.88959889246392,0.0049598830672944105
Manes.06G007600,AT1G18210.1,0,K13448,5.60791373972904,3.79499232736335e-05
Manes.03G049000,AT2G26140.1,0,K08955,5.54856655538862,0.00163144185475704
Manes.07G066800,AT3G19540.1,0,0,5.54156757135846,0.00168812009865179
Manes.02G129800,AT3G46640.2,0,0,5.4765682972604095,0.000203671779317899
Manes.S065500,AT5G42570.1,0,0,5.37441948827742,0.000307408353665604
Manes.16G071400,0,0,0,5.218170384931151,4.3977430300045706e-05
Manes.01G177000,AT3G13610.1,0,K06892,4.83203097887288,8.156228702795459e-05
Manes.12G017300,AT4G27670.1,0,K13993,4.81764343373289,0.000189584581338522
Manes.09G007300,AT3G52990.1,2.7.1.40,K00873,4.79628746979347,5.373097323053389e-07
Manes.15G054000,AT3G24100.1,0,0,4.49513571940022,0.006173742471737621
Manes.11G146600,AT1G08010.1,0,0,4.37263242229632,0.0023900290832423
Manes.16G025900,AT3G47160.1,0,0,4.349351298605851,0.0030482768672083
Manes.07G024100,AT1G09810.1,0,K20102,4.19836434823376,0.0020873232928416197
Manes.02G003700,AT5G41970.1,0,0,3.9837449016951503,0.00180175712415053
Manes.01G001400,AT4G10380.1,0,K09874,3.84210098331168,0.00104883980077998
Manes.18G057500,AT1G09920.1,0,0,3.72708899570338,0.0030688877068287103
Manes.03G060000,AT2G25760.1,2.7.11.1,0,3.54343530313815,8.14113789756534e-08
Manes.01G033800,AT1G26750.1,0,K17402,3.40262021131266,0.00782016280439658
Manes.08G033900,AT2G35940.2,0,0,3.02202059197146,7.4543580574403e-06
