ASPARAGINE-DEG1-PWY	L-asparagine degradation I	ASPARAGHYD-RXN	EC-3.5.1.38	G2Z-8610-MONOMER	asparaginase	G2Z-8610	Manes.06G081300
PWY-7560	methylerythritol phosphate pathway II	IPPISOM-RXN	EC-5.3.3.2	G2Z-10353-MONOMER	"isopentenyl-diphosphate &Delta;-isomerase"	G2Z-10353	Manes.12G005500
PWY-7560	methylerythritol phosphate pathway II	RXN0-882	EC-1.17.7.1	G2Z-10306-MONOMER	4-hydroxy-3-methylbut-2-en-1-yl diphosphate synthase	G2Z-10306	Manes.11G144700
PYRUVDEHYD-PWY	pyruvate decarboxylation to acetyl CoA	RXN0-1132	EC-1.8.1.4	G2Z-11332-MONOMER		G2Z-11332	Manes.15G005700
PYRUVDEHYD-PWY	pyruvate decarboxylation to acetyl CoA	RXN0-1132	EC-1.8.1.4	G2Z-7713-MONOMER		G2Z-7713	Manes.03G202500
PWY-5114	UDP-sugars interconversion	PWY-7346	-	G2Z-6538-MONOMER		G2Z-6538	Manes.01G097900
PWY-5114	UDP-sugars interconversion	PWY-7346	-	G2Z-12646-MONOMER		G2Z-12646	Manes.S094200
PWY-5114	UDP-sugars interconversion	PWY-5113	-	G2Z-7752-MONOMER		G2Z-7752	Manes.04G010600
PWY-6908	thiamine diphosphate biosynthesis IV (eukaryotes)	THI-P-SYN-RXN	EC-2.5.1.3	G2Z-9972-MONOMER	thiamine phosphate synthase	G2Z-9972	Manes.10G122900
OXIDATIVEPENT-PWY	pentose phosphate pathway (oxidative branch) I	GLU6PDEHYDROG-RXN	EC-1.1.1.49	G2Z-9740-MONOMER	NADP<sup>+</sup>-dependent glucose-6-phosphate dehydrogenase	G2Z-9740	Manes.09G179700
NONOXIPENT-PWY	pentose phosphate pathway (non-oxidative branch)	RIB5PISOM-RXN	EC-5.3.1.6	G2Z-8580-MONOMER	ribose-5-phosphate isomerase	G2Z-8580	Manes.06G061700
CALVIN-PWY	Calvin-Benson-Bassham cycle	RIB5PISOM-RXN	EC-5.3.1.6	G2Z-8580-MONOMER	ribose-5-phosphate isomerase	G2Z-8580	Manes.06G061700
CALVIN-PWY	Calvin-Benson-Bassham cycle	PHOSPHORIBULOKINASE-RXN	EC-2.7.1.19	G2Z-12539-MONOMER	phosphoribulokinase	G2Z-12539	Manes.S031800
CALVIN-PWY	Calvin-Benson-Bassham cycle	F16ALDOLASE-RXN	EC-4.1.2.13	G2Z-7893-MONOMER	fructose-bisphosphate aldolase	G2Z-7893	Manes.04G083800
PWY1F-823	leucopelargonidin and leucocyanidin biosynthesis	DIHYDROKAEMPFEROL-4-REDUCTASE-RXN	EC-1.1.1.219	G2Z-12259-MONOMER		G2Z-12259	Manes.18G022300
VALDEG-PWY	L-valine degradation I	RXN-11213	EC-1.2.1.27	G2Z-9938-MONOMER		G2Z-9938	Manes.10G095900
PWY-1042	glycolysis IV (plant cytosol)	PEPDEPHOS-RXN	EC-2.7.1.40	G2Z-9446-MONOMER	pyruvate kinase	G2Z-9446	Manes.09G007300
PWY-1042	glycolysis IV (plant cytosol)	PEPDEPHOS-RXN	EC-2.7.1.40	G2Z-9676-MONOMER	pyruvate kinase	G2Z-9676	Manes.09G143000
PWY-1042	glycolysis IV (plant cytosol)	F16ALDOLASE-RXN	EC-4.1.2.13	G2Z-7893-MONOMER	fructose-bisphosphate aldolase	G2Z-7893	Manes.04G083800
