ID_manihot	ID_Arabidopsis  	KEGG/ec
Manes.16G060500	AT5G44800.1	3.6.4.12
Manes.15G089100	AT3G15220.1	2.7.11.1
Manes.08G029900	AT2G47140.1	1.1.1.331
Manes.02G151400	AT1G22360.1	2.4.1.324
Manes.01G136800	AT2G18260.1	2.7.7.3
Manes.08G049600	AT3G57520.1	2.4.1.82
Manes.S033500	AT5G21060.1	1.1.1.3
Manes.14G031700	AT2G28100.1	3.2.1.51
Manes.05G011300	AT3G62260.2	3.1.3.16
Manes.17G013000	AT4G17830.1	3.5.1.16
Manes.15G182200	AT4G17770.1	2.4.1.15,3.1.3.12
Manes.03G041500	AT2G05840.1	3.4.25.1
Manes.12G032900	AT2G31140.1	3.4.21.89
Manes.06G036700	AT4G30960.1	2.7.11.1
Manes.08G127300	AT4G14880.2	2.5.1.52,2.5.1.51,4.2.1.50,2.5.1.47
Manes.16G000600	AT1G03475.1	1.3.3.3
Manes.05G006300	AT1G02305.1	3.4.22.1
Manes.05G187000	AT1G58290.1	1.2.1.70
Manes.09G157100	AT4G14880.2	2.5.1.52,2.5.1.51,4.2.1.50,2.5.1.47
Manes.14G054600	AT3G04120.1	1.2.1.12
