ID_manihot	ID_Arabidopsis  	KEGG/ec
Manes.18G120700	AT1G76690.1	1.3.1.42
Manes.15G016500	AT5G18660.1	1.3.1.75
Manes.04G125700	AT1G11300.1	2.7.11.1
Manes.02G111000	AT4G35780.1	2.7.12.1
Manes.04G078800	AT4G38800.1	3.2.2.16
Manes.03G086600	AT5G56460.1	2.7.11.1
Manes.04G093100	AT5G13960.1	2.1.1.43
Manes.03G161100	AT3G23510.1	2.1.1.79
Manes.06G109200	AT2G42490.1	1.4.3.21
Manes.10G077200	AT1G47128.1	3.4.22.14
Manes.06G065800	AT3G18290.1	6.3.2.19
Manes.15G182200	AT4G17770.1	2.4.1.15,3.1.3.12
Manes.12G158700	AT1G77280.1	2.7.11.1
Manes.05G032700	AT1G63800.1	6.3.2.19
Manes.01G023900	AT5G08170.1	3.5.3.12
Manes.04G083000	AT4G34710.2	4.1.1.19
Manes.01G026800	AT1G13700.1	3.1.1.31
Manes.S033500	AT5G21060.1	1.1.1.3
Manes.03G187800	AT3G06270.1	3.1.3.16
Manes.06G076800	AT3G57030.1	4.3.3.2
Manes.12G043700	AT4G29040.1	3.4.25.1
Manes.02G107200	AT5G66120.2	4.2.3.4
Manes.13G085600	0	1.2.1.8
Manes.05G097100	AT1G69830.1	3.2.1.1,3.2.1.141
Manes.03G117700	AT3G20630.1	3.4.19.12
Manes.03G163500	AT1G04430.2	2.1.1.103
Manes.15G175800	AT3G28480.1	1.14.11.2
Manes.01G183300	AT4G27880.1	6.3.2.19
Manes.14G059200	AT1G13080.1	1.14.13.121
Manes.15G062500	AT3G26280.1	1.14.13.121
Manes.10G026400	AT3G11410.1	3.1.3.16
Manes.16G095100	AT3G45310.1	3.4.22.16
Manes.03G040700	AT3G45310.1	3.4.22.16
Manes.04G161300	AT1G50380.1	3.4.21.83
Manes.13G039100	AT2G20360.1	1.6.5.3
Manes.04G146500	AT2G05840.1	3.4.25.1
Manes.08G033400	AT2G01820.1	2.7.11.1
Manes.09G060000	AT2G36530.1	4.2.1.11
Manes.05G157100	AT5G42800.1	1.1.1.219,1.1.1.234
Manes.15G163900	AT4G34480.1	3.2.1.39
Manes.09G175600	AT2G47470.1	5.3.4.1
Manes.13G068000	AT1G11910.1	3.4.23.40
Manes.08G127300	AT4G14880.2	2.5.1.52,2.5.1.51,4.2.1.50,2.5.1.47
Manes.11G081600	AT4G34710.2	4.1.1.19
Manes.09G157100	AT4G14880.2	2.5.1.52,2.5.1.51,4.2.1.50,2.5.1.47
Manes.01G106600	AT3G02470.4	4.1.1.50
Manes.03G060000	AT2G25760.1	2.7.11.1
