id_manihot,id_arabidopsis,EC,KO,log2_fold_change,valor_p_ajustado
Manes.02G189600,AT2G38470.1,0,K13424,41.6250193834914,3.1780035259165296e-30
Manes.15G152500,AT5G14420.4,0,K16280,41.5112493148425,1.94901078247172e-25
Manes.06G094100,AT3G47640.2,0,0,29.340201779746103,3.18756908037091e-11
Manes.09G163800,AT5G27400.1,0,K22696,25.4899887104514,1.43390824736403e-10
Manes.18G059800,AT5G49700.1,0,0,18.319954562834898,0.00122506113441871
Manes.17G063900,AT1G17020.1,1.14.11.32,0,14.023084631319001,2.14643093096279e-08
Manes.08G010600,AT2G36950.1,0,0,13.854759543378801,4.49717807853013e-19
Manes.08G010800,AT5G03415.1,0,K04683,13.353093114633902,1.3007328764266898e-06
Manes.03G040700,AT3G45310.1,3.4.22.16,K01366,12.395880660082199,1.40418495258614e-17
Manes.05G064600,AT5G27690.1,0,0,12.226883974381002,2.12829933524506e-24
Manes.01G252800,AT1G01490.2,0,0,12.1120429192815,6.093864411227311e-06
Manes.05G102400,AT1G26820.1,3.1.27.1,K01166,11.6742368437482,3.67480104991119e-06
Manes.07G054200,AT4G33800.1,0,0,11.6064576611004,7.16292756875362e-11
Manes.03G086500,AT4G26330.1,3.4.14.10,0,11.462622533838902,4.2398833216741704e-17
Manes.01G198900,AT1G23870.1,"2.4.1.15,3.1.3.12",K16055,11.4517782069471,0.0009176099863920821
Manes.09G158200,AT1G54570.1,"2.3.1.20,2.3.1.22",0,11.3979318841661,4.13280660347233e-15
Manes.02G099900,AT4G36280.1,0,0,11.312070304375501,6.97057229388052e-05
Manes.06G076800,AT3G57030.1,4.3.3.2,K21407,11.3047280142857,8.82949603924305e-07
Manes.01G028300,AT1G18650.1,0,0,11.226959707638901,9.075339347410981e-10
Manes.14G106700,AT4G11220.1,0,0,11.157846202363201,1.76032661010982e-10
Manes.03G052200,AT4G12070.1,0,0,11.1516394385414,2.73866129086219e-07
Manes.08G049600,AT3G57520.1,2.4.1.82,K06617,10.9716452414078,6.97057229388052e-05
Manes.11G036700,AT3G16200.1,0,0,10.9177917880842,1.61949459253458e-07
Manes.02G018900,AT3G05170.1,3.1.3.3,0,10.718771100155,0.0063774869001008
Manes.04G044100,AT1G04260.1,0,K20359,10.551714798758,6.6383761570346e-14
Manes.05G030000,AT1G01490.1,0,0,10.325133946477699,3.6191295287642104e-11
Manes.05G097100,AT1G69830.1,"3.2.1.1,3.2.1.141",K01176,10.282757873614802,1.67787876369608e-08
Manes.07G070200,AT4G35220.1,3.5.1.9,0,10.066994571349,4.15650690164651e-10
Manes.04G089100,AT4G39230.1,0,K23050,10.042813453582301,0.0032736107477826
Manes.16G095100,AT3G45310.1,3.4.22.16,K01366,9.99257432327369,6.04088958462729e-27
Manes.14G118100,AT5G20410.1,2.4.1.46,K03715,9.896757094868141,7.238598541844439e-14
Manes.04G093100,AT5G13960.1,2.1.1.43,0,9.87521882334167,4.6556966206899695e-06
Manes.14G125900,AT1G30670.1,0,0,9.59340093383794,5.31674234120953e-08
Manes.16G101900,AT2G19520.1,0,K10752,9.45259122193673,1.6835741827980099e-07
Manes.11G037600,AT1G79830.3,0,K20286,9.43518225023298,3.34849703871739e-07
Manes.17G019500,AT4G18020.2,0,0,9.32905680450312,1.3266811512324e-13
Manes.09G039500,AT3G58580.1,3.1.13.4,K12603,9.31031335110212,1.3863130270658002e-06
Manes.17G053100,AT4G18480.1,6.6.1.1,K03405,9.16392299020812,1.65805475367034e-05
Manes.14G001900,AT5G19350.1,0,0,9.1075873808684,2.96033899728034e-05
Manes.07G070100,AT4G35220.1,3.5.1.9,0,9.10747916842063,0.0055492566443302895
Manes.09G001100,AT3G56880.1,0,0,9.08317345451738,1.79162617509647e-06
Manes.09G142400,AT5G18230.1,0,K12580,8.774035990506981,4.7412498117898206e-07
Manes.06G152500,AT4G25720.1,2.3.2.5,K22757,8.62271738091134,1.49891031279945e-06
Manes.17G013000,AT4G17830.1,3.5.1.16,K01438,8.47884423682789,3.26536496657317e-05
Manes.15G182200,AT4G17770.1,"2.4.1.15,3.1.3.12",K16055,8.40928703605324,4.06888882379045e-05
Manes.13G110300,AT2G22900.1,2.4.2.39,0,8.3972231263008,0.000255852853866796
Manes.06G122800,AT3G48730.1,5.4.3.8,K01845,8.31269972420781,7.51772854771055e-05
Manes.03G086700,AT3G13470.1,0,K04077,8.28830603354195,2.6141065611236397e-05
Manes.16G049700,AT1G79380.1,0,K16280,8.25062835560495,1.2464536702659e-07
Manes.17G032000,AT4G27290.1,2.7.11.1,0,8.20353776288102,9.15152897348802e-05
Manes.01G027100,AT2G03640.2,"3.6.4.13,3.6.4.12",0,8.18784983576549,1.31382217835846e-13
Manes.15G059800,AT5G55730.2,0,0,8.14350908958144,1.0483114065035301e-05
Manes.07G139600,AT2G40540.2,0,K03549,7.9737789210482,0.006757049272579379
Manes.10G077200,AT1G47128.1,3.4.22.14,0,7.880649577685831,6.09664703459458e-08
Manes.02G161800,AT1G44820.1,3.5.1.14,K14677,7.87956105183077,2.31283247739127e-11
Manes.17G022200,AT5G25150.1,0,0,7.79687075070112,9.704340104122808e-05
Manes.14G160700,0,0,0,7.69076155824633,0.00023309586205182403
Manes.15G115900,AT5G45670.1,3.1.1.3,0,7.6754335480942695,2.6925671289628e-05
Manes.01G044400,AT5G24580.1,0,0,7.58141184520188,0.000657124983432317
Manes.18G041700,AT3G16150.1,3.5.1.1,K13051,7.362357003687181,0.00755982201145553
Manes.03G135500,AT5G55280.1,3.6.5.6,K03531,7.353574932753849,0.007296311015648971
Manes.02G107900,AT1G75900.1,3.1.1.3,0,7.35243746461815,0.00167026396877187
Manes.05G150100,AT4G31500.1,0,0,7.24822608613937,0.00264427420908771
Manes.02G070600,AT5G38210.1,2.7.11.1,0,7.17331382419416,0.00385212240431088
Manes.S053600,AT5G40010.1,0,0,7.154398566149,0.00308249945159651
Manes.06G110100,AT4G24690.1,0,K17987,7.05892749013344,1.8442629663834302e-06
Manes.01G023200,AT1G74030.1,4.2.1.11,K01689,7.050548021129219,0.00337704635024707
Manes.10G055200,AT5G04560.2,3.2.2.27,0,7.045768214916349,0.0072441031772389
Manes.02G094600,AT5G49555.1,0,0,7.03139166342566,0.00385212240431088
Manes.04G139400,AT3G13772.1,0,K17086,6.9141525575680305,0.000977549333274393
Manes.08G142400,AT3G04290.1,3.1.1.3,0,6.872812782126419,0.000550481245099867
Manes.11G150900,AT5G60800.1,0,0,6.85232036058388,0.000735016631484225
Manes.01G008800,AT2G44160.1,1.5.1.20,K00297,6.82644120368168,0.000107488097970321
Manes.14G122900,AT2G34710.1,0,K09338,6.744355579344361,2.0878278821721702e-10
Manes.09G172200,AT3G05600.1,3.3.2.10,0,6.557438812678191,0.00427979718243446
Manes.03G039700,AT2G06050.3,1.3.1.42,K05894,6.53972819425383,0.000550481245099867
Manes.09G174400,AT1G09160.1,3.1.3.16,0,6.43025766804119,5.671540805126151e-08
Manes.15G019500,AT3G21510.1,0,K14490,6.418730545401489,1.73578198563055e-05
Manes.03G033900,AT2G19520.1,0,K10752,6.41869810689675,0.004377215450228679
Manes.12G014300,AT5G08530.1,"1.6.99.3,1.6.5.3",K03942,6.362891446812791,0.00196137607880718
Manes.17G100600,AT4G34480.1,3.2.1.39,0,6.31846883004187,8.48040395324395e-06
Manes.06G028100,AT4G15560.1,2.2.1.7,K01662,6.2787573946891,0.00607399743843688
Manes.09G112500,AT5G01710.1,0,0,6.26622393935055,9.44672485015182e-05
Manes.09G115700,AT3G51730.1,0,K12382,6.173149715410299,0.0009626274885151961
Manes.15G058400,AT5G47750.1,2.7.11.1,K08286,6.12222169012199,9.387186999235909e-05
Manes.01G275000,AT1G53820.1,0,0,6.01341541284523,6.97057229388052e-05
Manes.14G146000,AT4G25810.1,2.4.1.207,K14504,6.00710993699872,0.000360745006636566
Manes.01G171400,AT5G59480.1,3.1.3.74,K07025,6.000181127331361,0.0034312642968924
Manes.01G011500,AT5G38410.2,4.1.1.39,K01602,5.9722942438230096,2.16094624982795e-13
Manes.15G009900,AT3G16770.1,0,K09286,5.96110674368487,0.000550481245099867
Manes.12G119000,AT5G65720.1,"2.8.1.6,2.8.1.7",K04487,5.94103013529963,0.00313887582054535
Manes.05G108200,AT5G61240.1,2.7.11.1,0,5.89090144370332,0.0034586222468667898
Manes.06G027900,AT4G39850.1,3.6.3.47,0,5.783123860002821,0.00458835122822581
Manes.05G110700,AT1G18650.1,0,0,5.76929491862276,0.005291793753610379
Manes.18G069100,AT1G78070.1,0,0,5.750983337824839,0.00976719310264507
Manes.01G174200,AT5G02380.1,0,0,5.686691600808429,6.13352320188705e-06
Manes.03G063400,AT2G37130.1,1.11.1.7,K00430,5.673344401907491,0.0019488195601802
Manes.12G127500,AT4G24570.1,0,K15104,5.66287225768175,7.32799168529275e-05
Manes.18G033200,AT2G26560.1,3.1.1.26,0,5.6418789770002995,0.000735016631484225
Manes.04G071200,AT4G38510.5,3.6.3.6,K02147,5.64088179054289,0.000190210254745538
Manes.14G000200,AT3G13060.2,0,K20102,5.4346410907414695,6.97057229388052e-05
Manes.16G000600,AT1G03475.1,1.3.3.3,K00228,5.323724553602401,0.00131556753553719
Manes.18G018400,AT4G39090.1,3.4.22.41,K01373,5.319395411600429,2.79092355901419e-09
Manes.13G068000,AT1G11910.1,3.4.23.40,K08245,5.263960108066191,0.0015986500178102301
Manes.11G096700,AT2G16860.1,0,K12868,5.150691948038269,0.00674399015704966
Manes.15G160800,AT3G27090.1,0,0,5.1401376126668,0.0049016468225572
Manes.03G063300,AT2G37130.1,1.11.1.7,K00430,4.98386156800854,0.000360745006636566
Manes.10G052600,AT5G58330.1,1.1.1.82,K00051,4.93905445195083,0.0058415448649586895
Manes.02G113000,AT2G17200.1,0,K04523,4.9196208790503295,0.00038650490751028396
Manes.13G068200,AT2G32520.1,0,K01061,4.83798491448942,6.68524092020004e-09
Manes.05G063300,AT4G02450.1,0,0,4.8322216704524905,0.00155806179544327
Manes.06G036000,AT1G13950.1,0,K03263,4.782908368459831,2.73589391448867e-05
Manes.01G122000,AT5G22480.1,0,K06874,4.70901623498575,0.000223832817843213
Manes.09G145900,AT5G33370.1,3.1.1.3,0,4.7063407327304105,2.0971006920064e-11
Manes.13G102400,AT4G37970.1,1.1.1.195,0,4.67902441891552,0.000111215933864226
Manes.12G150600,AT5G09810.1,0,K10355,4.56522541032634,0.0014992157474367199
Manes.07G090700,0,0,0,4.54266504965776,0.000156590697561574
