ID_manihot	ID_Arabidopsis  	KEGG/ec
Manes.15G089100	AT3G15220.1	2.7.11.1
Manes.15G016500	AT5G18660.1	1.3.1.75
Manes.16G060500	AT5G44800.1	3.6.4.12
Manes.15G068900	AT1G11910.1	3.4.23.40
Manes.01G183300	AT4G27880.1	6.3.2.19
Manes.01G184000	AT5G24300.1	2.4.1.21
Manes.08G004100	AT5G03080.1	3.1.3.4
Manes.10G034500	AT3G55410.1	1.2.4.2
Manes.07G001100	AT5G60900.1	2.7.11.1
Manes.18G116300	AT1G31230.1	1.1.1.3
Manes.03G064600	AT5G25560.1	6.3.2.19
Manes.09G007300	AT3G52990.1	2.7.1.40
Manes.03G060000	AT2G25760.1	2.7.11.1
