id_manihot,id_arabidopsis,EC,KO,log2_fold_change,valor_p_ajustado
Manes.02G189600,AT2G38470.1,0,K13424,42.6750241657202,2.15056493954177e-35
Manes.15G152500,AT5G14420.4,0,K16280,39.7187006695523,2.01637320865843e-23
Manes.16G060500,AT5G44800.1,3.6.4.12,0,33.0085918510044,3.85372349944084e-30
Manes.18G120700,AT1G76690.1,1.3.1.42,K05894,30.1206573333436,0.00286108211361788
Manes.14G061200,AT1G15530.1,2.7.11.1,0,28.7117591557393,0.000103268080540403
Manes.08G029900,AT2G47140.1,1.1.1.331,0,27.850980537294102,4.23220415766837e-07
Manes.09G163800,AT5G27400.1,0,K22696,27.3858973563078,2.89675274392891e-12
Manes.02G151400,AT1G22360.1,2.4.1.324,0,25.546324597274605,1.22299128011649e-08
Manes.13G038200,AT1G04140.1,0,0,25.2484532181249,4.7188324993816003e-07
Manes.06G094100,AT3G47640.2,0,0,24.348242797947897,1.1262378424049e-07
Manes.03G060700,AT2G25870.1,0,0,23.5881925167946,8.59736953374873e-07
Manes.01G195300,AT1G70150.1,0,K24081,23.395651697134902,8.02381658181411e-11
Manes.18G059800,AT5G49700.1,0,0,22.9188956166224,6.96701225581634e-06
Manes.15G089100,AT3G15220.1,2.7.11.1,K08838,22.709822565760604,7.33228666754568e-16
Manes.14G015600,AT1G79080.1,0,0,22.1533475713131,0.0008802943840800721
Manes.01G059400,AT1G63670.1,0,0,17.605110644509303,1.8260967314320198e-05
Manes.15G016500,AT5G18660.1,1.3.1.75,K19073,17.1929570221454,1.66975417409828e-06
Manes.11G129100,AT1G31350.1,0,0,12.163454714193099,0.0028626569566947
Manes.03G187800,AT3G06270.1,3.1.3.16,0,10.4203817615766,1.8118413257358e-07
Manes.01G201400,AT1G06790.1,2.7.7.6,K03022,10.1313204514951,0.000215214976792083
Manes.08G034300,AT5G16280.1,0,K20305,10.0206574316594,5.90333151797176e-05
Manes.06G076800,AT3G57030.1,4.3.3.2,K21407,9.97572235336543,2.07074558005864e-05
Manes.08G010800,AT5G03415.1,0,K04683,9.844734747618151,0.000563408332582021
Manes.01G023900,AT5G08170.1,3.5.3.12,K10536,9.841645855170551,6.12920597907368e-05
Manes.10G027700,AT3G55550.1,2.7.11.1,0,9.78436428993492,0.000520754794229074
Manes.15G182200,AT4G17770.1,"2.4.1.15,3.1.3.12",K16055,9.7454453739038,9.509487475258249e-07
Manes.04G093100,AT5G13960.1,2.1.1.43,0,9.717078275831039,6.75555816159335e-06
Manes.04G127800,AT3G24550.1,2.7.11.1,0,9.59336090991583,0.000729343870351089
Manes.08G136000,AT3G04710.1,0,0,9.51593558866497,3.93066678883794e-05
Manes.01G204300,AT3G63340.1,3.1.3.16,0,9.4438856384349,0.005678722028362579
Manes.01G082300,AT4G17370.1,0,0,9.4380656293184,0.00898826586642802
Manes.15G192200,AT1G32160.1,0,0,9.43546930703876,0.00924314394759801
Manes.07G013300,AT1G25260.1,0,K14815,9.14177245320311,2.3996945394829e-08
Manes.12G151900,AT3G18750.3,2.7.11.1,K08867,9.13095289439423,0.00169489077306292
Manes.13G030600,AT1G70370.2,0,0,9.0719950856951,0.00241929457756293
Manes.15G073100,AT4G27020.1,0,0,9.0395701506831,0.00223352301754631
Manes.04G149300,AT1G72370.2,0,K02998,9.037533626744802,3.27057518288046e-12
Manes.05G108500,AT3G29320.1,2.4.1.1,K00688,9.02758584450842,0.000667402516640043
Manes.05G164400,AT1G13570.1,0,0,8.69706697029281,1.81287208300243e-05
Manes.12G112000,AT4G33910.1,1.14.11.2,K00472,8.67641576319586,0.00157599197419614
Manes.05G020900,AT2G46580.1,1.4.3.5,K00275,8.62215960175703,1.4044985533538599e-05
Manes.09G115700,AT3G51730.1,0,K12382,8.614776043110469,6.05776051178068e-07
Manes.05G055800,AT2G44760.1,0,K23538,8.52570922683301,0.0039300865061170105
Manes.13G040900,0,0,0,8.49841697345308,0.00199196320325589
Manes.15G172000,AT2G35320.1,3.1.3.48,K17620,8.45113140290244,0.000254194482999534
Manes.16G124700,AT1G80490.2,0,0,8.43889820909523,5.3985846915100705e-06
Manes.13G013000,AT1G13195.1,0,0,8.37461712767082,0.0028164756570232302
Manes.18G120400,AT1G76690.1,1.3.1.42,K05894,8.35625090253473,0.00876387333582796
Manes.03G033900,AT2G19520.1,0,K10752,8.3166304607797,4.3024959303534e-05
Manes.10G123200,AT1G60950.1,0,K02639,8.21388182731017,7.93516868966928e-05
Manes.05G143700,AT1G76010.1,0,0,8.15943409310038,0.00257560180655629
Manes.15G169000,AT1G32550.1,0,K02639,8.03057802050165,0.00018504584169756
Manes.17G013000,AT4G17830.1,3.5.1.16,K01438,7.91087714083403,9.92950319442396e-05
Manes.12G032900,AT2G31140.1,3.4.21.89,0,7.88940524664795,3.3665419969890004e-05
Manes.04G063000,AT5G22060.1,0,K09503,7.85777721160653,9.13827644305976e-05
Manes.01G163500,AT2G29660.1,0,0,7.79070753628317,3.63566146293611e-05
Manes.01G171400,AT5G59480.1,3.1.3.74,K07025,7.77879608398151,2.8609554159951197e-05
Manes.S033500,AT5G21060.1,1.1.1.3,0,7.74929433432133,0.0006769469512133769
Manes.13G091100,AT2G22240.1,5.5.1.4,K01858,7.67838575691608,3.8501921568781705e-05
Manes.04G034300,AT5G02440.1,0,0,7.676593250674219,0.0027257294292455
Manes.02G093600,AT3G50845.1,0,0,7.66024367227458,4.50647020663356e-05
Manes.09G142400,AT5G18230.1,0,K12580,7.6538119625473495,1.70348223016505e-05
Manes.10G077200,AT1G47128.1,3.4.22.14,0,7.6424596098255995,2.06366504454505e-07
Manes.10G007300,AT3G56130.1,6.4.1.1,0,7.6396944452407,0.00850784887870772
Manes.17G105400,AT5G14210.1,2.7.11.1,0,7.57641473526721,0.00609513657051496
Manes.03G086500,AT4G26330.1,3.4.14.10,0,7.5616814658050595,1.8283971025486398e-07
Manes.12G028300,AT1G10600.1,3.4.25.1,K11866,7.5094121116651,0.00165864353172892
Manes.07G041700,AT2G22570.1,3.5.1.19,0,7.4795091421943996,0.00434035534816197
Manes.13G132700,AT3G50820.1,0,K02716,7.4592512271162,7.27834336397467e-07
Manes.07G020100,AT1G60950.1,0,K02639,7.450702735287731,6.80118723781683e-09
Manes.09G049300,AT2G37340.1,0,0,7.43005934926551,0.00998326313646991
Manes.05G026500,AT3G61610.1,5.1.3.15,K01792,7.427439630206179,0.00218877021080067
Manes.09G120000,AT3G08590.1,"5.4.2.12,5.4.2.11",K15633,7.425906034860951,0.00011861724504898
Manes.06G058300,AT5G63890.1,1.1.1.23,K00013,7.3979835806897,2.4735886866782398e-06
Manes.05G172200,AT1G47380.1,3.1.3.16,0,7.38495072779413,0.00938376692119139
Manes.07G054200,AT4G33800.1,0,0,7.374370387643549,0.000106962438508481
Manes.17G022200,AT5G25150.1,0,0,7.363916856063191,0.000169639579839671
Manes.06G110100,AT4G24690.1,0,K17987,7.25977431597959,8.72117183841827e-07
Manes.06G071000,AT1G25510.1,3.4.23.12,K22683,7.25934831367342,0.00243347124556324
Manes.16G102100,AT4G29720.1,1.5.3.17,K12259,7.257699475197951,0.00428609451805876
Manes.05G094300,AT1G27170.2,0,0,7.24816730495996,0.00254783982968975
Manes.07G130100,AT2G40130.2,0,0,7.20946356990947,0.0017615644698826
Manes.01G125200,AT1G07650.1,2.7.11.1,0,7.17673201753245,0.000675757110207873
Manes.03G063300,AT2G37130.1,1.11.1.7,K00430,7.16285184770434,3.14354463419923e-08
Manes.02G121000,AT2G29660.1,0,0,7.1450806208724,4.63541915333992e-06
