id_manihot,id_arabidopsis,EC,KO,log2_fold_change,valor_p_ajustado
Manes.15G152500,AT5G14420.4,0,K16280,41.4154534649166,2.190208572727e-25
Manes.01G195300,AT1G70150.1,0,K24081,35.7541603248441,8.83293785571869e-26
Manes.15G089100,AT3G15220.1,2.7.11.1,K08838,31.1497648678822,5.22758238494447e-31
Manes.13G038200,AT1G04140.1,0,0,30.3400535228777,2.38663639460736e-10
Manes.01G059400,AT1G63670.1,0,0,29.362723737533198,1.7170820427766103e-16
Manes.02G151400,AT1G22360.1,2.4.1.324,0,28.914850662353302,2.45860908192563e-11
Manes.13G070500,AT2G32400.1,0,K05387,28.791187878031398,0.00708119221885987
Manes.03G060700,AT2G25870.1,0,0,27.1449377322705,3.5775193148586297e-09
Manes.18G059800,AT5G49700.1,0,0,24.7719982693155,5.15098126184216e-07
Manes.02G189600,AT2G38470.1,0,K13424,18.3358385094533,3.14330793518038e-06
Manes.08G010600,AT2G36950.1,0,0,16.5849675913421,1.7917454630339997e-27
Manes.10G045300,AT3G54950.1,0,0,15.338776023087402,2.2609339951351698e-17
Manes.05G064600,AT5G27690.1,0,0,15.275058766974599,5.01674097682453e-38
Manes.08G136000,AT3G04710.1,0,0,15.1255746344342,1.7997499110417499e-12
Manes.15G178000,AT3G28460.1,2.1.1.171,0,14.8561343066604,2.6432820740247897e-05
Manes.12G113200,AT5G67460.1,3.2.1.39,0,14.3008236744086,1.2519629245331098e-13
Manes.10G099500,AT5G64360.2,0,0,14.019446548304,5.12861413327771e-07
Manes.10G077200,AT1G47128.1,3.4.22.14,0,13.8804024707249,1.5337837065390101e-24
Manes.16G060500,AT5G44800.1,3.6.4.12,0,13.527224689672899,6.14724190074623e-05
Manes.09G158200,AT1G54570.1,"2.3.1.20,2.3.1.22",0,13.3939816530244,4.91689028988674e-21
Manes.02G018900,AT3G05170.1,3.1.3.3,0,13.2012603852846,0.000180582274678765
Manes.14G023800,AT3G49080.1,0,K02996,12.9313889294895,7.74500869280178e-05
Manes.03G103900,AT5G54080.1,1.13.11.5,K00451,12.9264226628216,1.15023503946313e-07
Manes.05G133100,AT1G73760.1,0,0,12.842913527616,3.3956365850704905e-12
Manes.05G155000,AT1G45000.1,3.4.25.1,K03064,12.8335140979318,1.14161186779484e-06
Manes.02G034000,AT1G62810.1,1.4.3.21,K00276,12.7056429808463,0.000100489557456336
Manes.08G020700,AT5G03720.1,0,K09419,12.4619953514833,0.0033859261189505
Manes.11G086600,AT4G34530.1,0,0,12.1390464052743,0.0005897003249641599
Manes.18G013500,AT1G19980.1,0,0,12.038385945583999,3.27467262409438e-26
Manes.01G023900,AT5G08170.1,3.5.3.12,K10536,11.895205013868699,4.2769902645426897e-07
Manes.15G163900,AT4G34480.1,3.2.1.39,0,11.8671458124119,2.8066288063191697e-18
Manes.01G028300,AT1G18650.1,0,0,11.818972490293099,6.17598495636655e-11
Manes.11G129100,AT1G31350.1,0,0,11.7903518115506,0.00610176287607705
Manes.01G074300,AT4G12340.1,0,0,11.6674562510434,0.00208028373980242
Manes.06G076800,AT3G57030.1,4.3.3.2,K21407,11.5276416118716,3.0767223408396395e-07
Manes.09G066300,AT5G03380.1,0,0,11.4914954950685,3.43627455310763e-09
Manes.04G093100,AT5G13960.1,2.1.1.43,0,11.491270868738699,2.5090841366641803e-08
Manes.09G039500,AT3G58580.1,3.1.13.4,K12603,11.480408602039098,4.77807747598231e-10
Manes.11G149200,AT5G41020.1,0,0,11.443526198229199,0.000302915042783741
Manes.02G107900,AT1G75900.1,3.1.1.3,0,11.394968564526698,3.30800984460135e-08
Manes.18G041700,AT3G16150.1,3.5.1.1,K13051,11.332864014830198,1.55810136223115e-06
Manes.12G089800,AT2G20570.1,0,0,11.151400487839402,0.000697337206016367
Manes.08G014300,AT1G06560.1,2.1.1.178,K21971,11.0278119536877,4.15252401592439e-08
Manes.14G016000,AT4G03280.1,1.10.9.1,K02636,11.0117306180651,8.47044672679864e-14
Manes.05G017000,AT3G61920.1,0,0,10.992838164516598,3.68782425896334e-11
Manes.11G150800,AT5G60800.2,0,0,10.9464057635617,2.67183349513625e-34
Manes.03G092400,AT5G03490.1,0,0,10.752224362353699,0.000253257771330492
Manes.15G064900,AT5G55390.2,2.1.1.43,0,10.7418886771369,1.68546411814825e-06
Manes.11G150900,AT5G60800.1,0,0,10.7159820738144,3.3124485271860498e-09
Manes.06G104500,AT3G27960.1,0,0,10.703973122661301,0.000119107359973998
Manes.04G116500,AT1G80210.1,3.4.19.12,K11864,10.6589537430505,0.00018775937143336498
Manes.14G001900,AT5G19350.1,0,0,10.634122768892,2.9672184623882e-07
Manes.18G120400,AT1G76690.1,1.3.1.42,K05894,10.6020744903715,0.000842435899424086
Manes.01G264600,AT2G45510.1,1.14.13.109,0,10.520381057118199,8.82825052971001e-09
Manes.11G026000,AT3G13850.1,0,0,10.51057009788,8.952970646521591e-07
Manes.10G147900,AT5G48030.1,0,K03686,10.459951583652,9.390702163416198e-06
Manes.17G013000,AT4G17830.1,3.5.1.16,K01438,10.3779494533266,7.17243009442239e-08
Manes.07G070200,AT4G35220.1,3.5.1.9,0,10.3349942281556,8.88105647910247e-11
Manes.07G123200,AT1G53540.1,0,K13993,10.317570727556,1.68166427100141e-06
Manes.03G086600,AT5G56460.1,2.7.11.1,0,10.270418485392,0.000699325140489497
Manes.02G113000,AT2G17200.1,0,K04523,10.2448149583555,2.2609339951351698e-17
Manes.08G100700,AT1G27440.1,2.4.2.41,K20870,10.243550433191599,4.60176585285879e-05
Manes.06G028100,AT4G15560.1,2.2.1.7,K01662,10.172980552252099,1.89836862173627e-07
Manes.16G095100,AT3G45310.1,3.4.22.16,K01366,10.0368109815268,2.7355051956344e-27
Manes.01G183300,AT4G27880.1,6.3.2.19,K04506,10.0028893286997,3.41035289654939e-05
Manes.15G127700,AT1G70940.1,0,K13947,10.0022333192185,2.46886810356166e-05
Manes.11G164000,AT2G27350.1,3.4.19.12,K12655,9.916214298388232,0.0022585033623282397
Manes.03G040700,AT3G45310.1,3.4.22.16,K01366,9.91322426103187,1.9630063652764302e-11
Manes.05G110700,AT1G18650.1,0,0,9.805435999914868,2.34947497842617e-08
Manes.18G068600,AT1G78110.1,0,0,9.74224069323334,0.00012945641494056
Manes.04G142600,AT1G72830.1,0,K08064,9.724602427856821,2.16365116289591e-06
