ID_manihot	ID_Arabidopsis  	KEGG/ec
Manes.15G089100	AT3G15220.1	2.7.11.1
Manes.16G060500	AT5G44800.1	3.6.4.12
Manes.17G013000	AT4G17830.1	3.5.1.16
Manes.15G062500	AT3G26280.1	1.14.13.121
Manes.03G090100	AT5G13000.1	2.4.1.34
Manes.10G034500	AT3G55410.1	1.2.4.2
Manes.07G001100	AT5G60900.1	2.7.11.1
Manes.06G102500	AT5G04620.2	2.3.1.47
Manes.04G056000	AT3G19950.1	6.3.2.19
Manes.13G091100	AT2G22240.1	5.5.1.4
Manes.18G116300	AT1G31230.1	1.1.1.3
Manes.14G105800	AT1G25390.1	2.7.11.1
Manes.05G097100	AT1G69830.1	3.2.1.1,3.2.1.141
Manes.04G024700	AT1G56450.1	3.4.25.1
Manes.04G078800	AT4G38800.1	3.2.2.16
Manes.08G046800	AT5G06900.1	1.14.13.28
Manes.S065000	AT2G47430.1	2.7.13.3
Manes.13G068000	AT1G11910.1	3.4.23.40
Manes.09G138200	AT5G17920.2	2.1.1.14
Manes.03G060000	AT2G25760.1	2.7.11.1
Manes.09G007300	AT3G52990.1	2.7.1.40
Manes.13G015200	AT3G04120.1	1.2.1.12
Manes.03G190100	AT3G06330.1	6.3.2.19
