id_manihot,id_arabidopsis,EC,KO,log2_fold_change,valor_p_ajustado
Manes.02G189600,AT2G38470.1,0,K13424,41.588286685623295,2.8080682008231196e-32
Manes.16G060500,AT5G44800.1,3.6.4.12,0,31.559312662797197,1.65153989991603e-26
Manes.08G029900,AT2G47140.1,1.1.1.331,0,22.350098933817602,0.00315015248865634
Manes.06G094100,AT3G47640.2,0,0,21.7670458971143,0.00010638778921045699
Manes.15G089100,AT3G15220.1,2.7.11.1,K08838,20.8826391296178,1.16036488529244e-11
Manes.09G163800,AT5G27400.1,0,K22696,20.0840985219998,6.2371442658351e-05
Manes.01G059400,AT1G63670.1,0,0,18.718823500859603,6.04596402236188e-05
Manes.01G195300,AT1G70150.1,0,K24081,17.071053513034002,0.0008248369247445589
Manes.15G016500,AT5G18660.1,1.3.1.75,K19073,14.4943836110023,0.0038049545205618
Manes.09G115700,AT3G51730.1,0,K12382,7.06586373197605,0.0025744182942329
Manes.04G149300,AT1G72370.2,0,K02998,6.552488626775321,6.04596402236188e-05
Manes.15G163900,AT4G34480.1,3.2.1.39,0,5.622030435633401,0.00769694369131485
