ASPARAGINE-DEG1-PWY	L-asparagine degradation I	ASPARAGHYD-RXN	EC-3.5.1.38	G2Z-12301-MONOMER	asparaginase	G2Z-12301	Manes.18G041700
PWY-7560	methylerythritol phosphate pathway II	DXS-RXN	EC-2.2.1.7	G2Z-8518-MONOMER	1-deoxy-D-xylulose-5-phosphate synthase	G2Z-8518	Manes.06G028100
PWY-2541	plant sterol biosynthesis	RXN-4224	-	G2Z-7490-MONOMER	"&Delta;<sup>24-25</sup>-sitosterol reductase"	G2Z-7490	Manes.03G081200
PWY-2541	plant sterol biosynthesis	RXN-4221	-	G2Z-7490-MONOMER	isofucosterol isomerase	G2Z-7490	Manes.03G081200
PWY-2541	plant sterol biosynthesis	RXN-4222	-	G2Z-7490-MONOMER	24-methylenecholesterol isomerase	G2Z-7490	Manes.03G081200
PWY-2541	plant sterol biosynthesis	RXN-708	EC-1.3	G2Z-7490-MONOMER	24-methyldesmosterol reductase	G2Z-7490	Manes.03G081200
PWY-6908	thiamine diphosphate biosynthesis IV (eukaryotes)	THI-P-SYN-RXN	EC-2.5.1.3	G2Z-9972-MONOMER	thiamine phosphate synthase	G2Z-9972	Manes.10G122900
OXIDATIVEPENT-PWY	pentose phosphate pathway (oxidative branch) I	6PGLUCONOLACT-RXN	EC-3.1.1.31	G2Z-6402-MONOMER	6-phosphogluconolactonase	G2Z-6402	Manes.01G026800
CALVIN-PWY	Calvin-Benson-Bassham cycle	F16BDEPHOS-RXN	EC-3.1.3.11	G2Z-7222-MONOMER	fructose-1,6-bisphosphatase	G2Z-7222	Manes.02G178700
CALVIN-PWY	Calvin-Benson-Bassham cycle	F16ALDOLASE-RXN	EC-4.1.2.13	G2Z-7893-MONOMER	fructose-bisphosphate aldolase	G2Z-7893	Manes.04G083800
VALDEG-PWY	L-valine degradation I	RXN-11213	EC-1.2.1.27	G2Z-9938-MONOMER		G2Z-9938	Manes.10G095900
PWY-1042	glycolysis IV (plant cytosol)	PEPDEPHOS-RXN	EC-2.7.1.40	G2Z-9446-MONOMER	pyruvate kinase	G2Z-9446	Manes.09G007300
PWY-1042	glycolysis IV (plant cytosol)	F16ALDOLASE-RXN	EC-4.1.2.13	G2Z-7893-MONOMER	fructose-bisphosphate aldolase	G2Z-7893	Manes.04G083800
PWY-5910	superpathway of geranylgeranyldiphosphate biosynthesis I (via mevalonate)	PWY-5120	-	G2Z-10221-MONOMER		G2Z-10221	Manes.11G098400
NONMEVIPP-PWY	methylerythritol phosphate pathway I	DXS-RXN	EC-2.2.1.7	G2Z-8518-MONOMER	1-deoxy-D-xylulose-5-phosphate synthase	G2Z-8518	Manes.06G028100
PWY-6549	L-glutamine biosynthesis III	ACONITATEHYDR-RXN	-	G2Z-10790-MONOMER	cis-aconitate hydratase	G2Z-10790	Manes.13G070400
PWY-6549	L-glutamine biosynthesis III	ACONITATEDEHYDR-RXN	-	G2Z-10790-MONOMER	citrate hydro-lyase (cis-aconitate-forming)	G2Z-10790	Manes.13G070400
PWY-4661	1D-<i>myo</i>-inositol hexakisphosphate biosynthesis III (<i>Spirodela polyrrhiza</i>)	MYO-INOSITOL-1-PHOSPHATE-SYNTHASE-RXN	EC-5.5.1.4	G2Z-10819-MONOMER	inositol-3-phosphate synthase	G2Z-10819	Manes.13G091100
PWY1F-353	glycine betaine biosynthesis III (plants)	BADH-RXN	EC-1.2.1.8	G2Z-8647-MONOMER	betaine aldehyde dehydrogenase	G2Z-8647	Manes.06G100200
PWY1F-353	glycine betaine biosynthesis III (plants)	BADH-RXN	EC-1.2.1.8	G2Z-10808-MONOMER	betaine aldehyde dehydrogenase	G2Z-10808	Manes.13G085600
PWY-7199	pyrimidine deoxyribonucleosides salvage	THYKI-RXN	EC-2.7.1.145	G2Z-10777-MONOMER	thymidine kinase	G2Z-10777	Manes.13G064000
PWY-7199	pyrimidine deoxyribonucleosides salvage	DURIDKI-RXN	EC-2.7.1.145	G2Z-10777-MONOMER	deoxyuridine kinase	G2Z-10777	Manes.13G064000
PWY-3841	folate transformations II	1.5.1.20-RXN	EC-1.5.1.20	G2Z-6356-MONOMER	5,10-methylenetetrahydrofolate reductase	G2Z-6356	Manes.01G008800
GLUCOSE1PMETAB-PWY	glucose and glucose-1-phosphate degradation	GLUCOSE-1-PHOSPHAT-RXN	EC-3.1.3.10	G2Z-7444-MONOMER		G2Z-7444	Manes.03G060800
