id_manihot,id_arabidopsis,EC,KO,log2_fold_change,valor_p_ajustado
Manes.15G152500,AT5G14420.4,0,K16280,44.1499457919297,5.382818295792109e-29
Manes.16G060500,AT5G44800.1,3.6.4.12,0,36.0084801458517,6.19889325502419e-36
Manes.16G115800,AT5G19650.1,0,0,32.4419113176082,0.0012993521710924199
Manes.14G061200,AT1G15530.1,2.7.11.1,0,32.3684123251778,6.20899740466027e-06
Manes.02G151400,AT1G22360.1,2.4.1.324,0,30.7280315268235,8.184631913127759e-13
Manes.10G023600,AT4G38040.1,2.4.2.41,0,30.608345794724002,0.00270863398487498
Manes.09G163800,AT5G27400.1,0,K22696,30.5269484344002,1.8471346658038103e-15
Manes.18G120700,AT1G76690.1,1.3.1.42,K05894,30.5162075109969,0.00282812987134807
Manes.01G195300,AT1G70150.1,0,K24081,30.0278099612177,3.4712036554908996e-18
Manes.08G029900,AT2G47140.1,1.1.1.331,0,29.0518647644576,4.8489737264031e-08
Manes.05G140600,AT2G38010.1,3.5.1.23,K12349,28.3611180549542,0.000600409615305205
Manes.15G016500,AT5G18660.1,1.3.1.75,K19073,26.8614288288285,4.25580640252086e-16
Manes.01G059400,AT1G63670.1,0,0,26.4101431371417,2.1216326856675897e-13
Manes.18G059800,AT5G49700.1,0,0,25.5949299521338,1.635569914157e-07
Manes.13G038200,AT1G04140.1,0,0,24.783636232449197,4.6179067140839604e-07
Manes.14G015600,AT1G79080.1,0,0,23.392219115683798,0.00040357390027346803
Manes.15G005700,AT3G16950.1,1.8.1.4,K00382,15.380959101206301,2.8308593675840303e-31
Manes.03G202500,AT3G16950.1,1.8.1.4,K00382,14.659916747672698,7.449056364440899e-18
Manes.07G126500,AT2G39990.1,0,K03249,14.612423805218699,2.97084789145825e-06
Manes.02G189600,AT2G38470.1,0,K13424,14.4758986985441,0.000404758548587472
Manes.08G067300,AT3G56810.1,0,0,14.1918484761903,0.000972675115974933
