ID_manihot	ID_Arabidopsis  	KEGG/ec
Manes.16G060500	AT5G44800.1	3.6.4.12
Manes.08G029900	AT2G47140.1	1.1.1.331
Manes.14G061200	AT1G15530.1	2.7.11.1
Manes.15G089100	AT3G15220.1	2.7.11.1
Manes.02G151400	AT1G22360.1	2.4.1.324
Manes.15G016500	AT5G18660.1	1.3.1.75
Manes.05G012000	AT2G47180.1	2.4.1.123
Manes.02G096600	AT5G66450.1	3.1.3.4
Manes.09G179100	AT1G56600.1	2.4.1.123
Manes.03G212700	AT1G48300.1	2.3.1.20
Manes.15G068900	AT1G11910.1	3.4.23.40
Manes.14G084200	AT5G15490.1	1.1.1.22
Manes.11G153700	AT2G27920.1	3.4.16.5
Manes.02G178700	AT1G43670.1	3.1.3.11
Manes.13G068000	AT1G11910.1	3.4.23.40
Manes.02G035800	AT4G12420.2	1.10.3.3
Manes.04G014900	AT1G08110.4	4.4.1.5
Manes.14G085400	AT2G33040.1	3.6.3.14
Manes.04G093100	AT5G13960.1	2.1.1.43
Manes.06G084900	AT2G33040.1	3.6.3.14
Manes.01G262300	AT2G06850.1	2.4.1.207
Manes.06G036700	AT4G30960.1	2.7.11.1
Manes.18G055500	AT5G26780.1	2.1.2.1
Manes.18G121400	0	2.4.2.29
Manes.14G112600	AT4G30960.1	2.7.11.1
Manes.11G139700	AT1G07890.1	1.11.1.11
Manes.02G148100	AT2G29420.1	2.5.1.18
Manes.05G102400	AT1G26820.1	3.1.27.1
Manes.06G087500	AT5G07830.1	3.2.1.31,3.2.1.167
Manes.05G124600	AT1G76390.1	6.3.2.19
Manes.01G097900	AT5G15490.1	1.1.1.22
Manes.12G028300	AT1G10600.1	3.4.25.1
Manes.01G132400	AT3G58640.2	2.7.11.1
Manes.04G026800	AT1G07890.5	1.11.1.11
Manes.17G013000	AT4G17830.1	3.5.1.16
Manes.02G090800	AT3G58640.1	2.7.11.1
Manes.14G097300	AT1G75290.1	1.17.1.3
Manes.06G129700	AT5G07440.1	1.4.1.3
Manes.16G095100	AT3G45310.1	3.4.22.16
Manes.14G005600	AT1G50490.1	6.3.2.19
Manes.11G058200	AT1G48900.1	3.6.5.4
Manes.16G004300	AT1G62290.2	3.4.23.40
Manes.15G064900	AT5G55390.2	2.1.1.43
Manes.07G132800	AT4G18640.1	2.7.11.1
Manes.13G110300	AT2G22900.1	2.4.2.39
Manes.03G040700	AT3G45310.1	3.4.22.16
Manes.03G187800	AT3G06270.1	3.1.3.16
Manes.S094200	AT3G29360.1	1.1.1.22
Manes.16G080300	AT4G33010.1	1.4.4.2
Manes.14G060100	AT4G20360.1	3.6.5.3
Manes.10G078000	AT2G15480.1	2.4.1.128
Manes.02G049300	AT3G01090.2	2.7.11.1
Manes.03G037800	AT5G13640.1	2.3.1.20,2.3.1.158
Manes.04G116000	AT5G65550.1	2.4.1.273
Manes.06G072400	AT1G75290.1	1.17.1.3
Manes.06G061700	AT2G01290.1	5.3.1.6
Manes.03G086500	AT4G26330.1	3.4.14.10
Manes.02G107900	AT1G75900.1	3.1.1.3
Manes.15G156500	AT5G40760.1	1.1.1.49
Manes.18G003300	AT1G42970.1	1.2.1.12,1.2.1.13
Manes.13G148200	AT1G03630.1	1.3.1.33
Manes.09G181200	AT1G11910.1	3.4.23.40
Manes.11G076300	AT5G13440.1	1.10.2.2
Manes.05G006300	AT1G02305.1	3.4.22.1
Manes.10G052600	AT5G58330.1	1.1.1.82
Manes.05G146600	AT2G16600.1	5.2.1.8
Manes.16G064400	AT1G08510.1	3.1.2.14
Manes.15G163900	AT4G34480.1	3.2.1.39
Manes.15G182200	AT4G17770.1	2.4.1.15,3.1.3.12
Manes.08G117500	AT3G05510.1	2.3.1.23
Manes.05G060700	AT2G44530.1	2.7.6.1
Manes.09G039500	AT3G58580.1	3.1.13.4
Manes.08G052000	AT2G41530.1	3.1.2.12
Manes.03G063300	AT2G37130.1	1.11.1.7
Manes.17G100600	AT4G34480.1	3.2.1.39
Manes.06G054000	AT2G39930.1	3.2.1.68
Manes.09G158200	AT1G54570.1	2.3.1.20,2.3.1.22
Manes.10G077200	AT1G47128.1	3.4.22.14
Manes.16G040500	AT1G47128.1	3.4.22.14
Manes.16G000600	AT1G03475.1	1.3.3.3
Manes.07G052100	AT1G52340.1	1.1.1.331
Manes.11G160400	AT2G27600.1	3.6.4.6
Manes.05G056000	AT4G09320.1	2.7.4.6
Manes.18G060600	AT4G24620.1	5.3.1.9
Manes.14G153800	AT4G25840.1	3.1.3.21
Manes.01G171400	AT5G59480.1	3.1.3.74
Manes.03G063400	AT2G37130.1	1.11.1.7
Manes.15G033600	AT3G22890.1	2.7.7.4
Manes.11G154400	AT5G22860.1	3.4.16.2
Manes.15G089900	AT5G57850.1	4.1.3.38
Manes.14G043900	AT5G61840.1	2.4.2.41
Manes.02G048600	AT3G29090.1	3.1.1.11
Manes.01G178000	AT5G07990.1	1.14.13.88
Manes.13G070400	AT2G05710.1	4.2.1.3
Manes.01G236900	AT1G02305.1	3.4.22.1
Manes.11G144700	AT5G60600.1	1.17.7.1
Manes.06G104700	AT5G62790.1	1.1.1.267
Manes.05G169200	AT1G06870.1	3.4.21.89
Manes.14G118100	AT5G20410.1	2.4.1.46
Manes.09G070300	AT1G12050.1	3.7.1.2
Manes.03G001100	AT4G31300.1	3.4.25.1
Manes.16G130500	AT4G31860.1	3.1.3.16
Manes.06G058300	AT5G63890.1	1.1.1.23
Manes.02G158400	AT1G77810.2	2.4.1.134
Manes.13G107500	AT5G65760.1	3.4.16.2
Manes.02G020900	AT1G63770.4	3.4.11.14
Manes.14G016000	AT4G03280.1	1.10.9.1
Manes.04G010600	AT1G08200.1	4.1.1.35
Manes.18G019500	AT5G66460.1	3.2.1.78
Manes.09G157100	AT4G14880.2	2.5.1.52,2.5.1.51,4.2.1.50,2.5.1.47
Manes.11G081600	AT4G34710.2	4.1.1.19
Manes.02G161800	AT1G44820.1	3.5.1.14
Manes.09G179800	AT1G56700.2	3.4.19.3
Manes.12G156600	AT5G63980.1	3.1.3.57,3.1.3.7
Manes.08G144100	AT5G18170.1	1.4.1.3
Manes.11G012800	AT3G14290.1	3.4.25.1
Manes.S110800	AT3G29320.1	2.4.1.1
Manes.06G100200	AT1G74920.1	1.2.1.8
Manes.10G047600	AT5G03300.1	2.7.1.20
Manes.12G074600	AT2G05710.1	4.2.1.3
Manes.01G011500	AT5G38410.2	4.1.1.39
Manes.04G095400	AT3G54900.1	1.8.1.9
Manes.S022600	AT3G53620.1	3.6.1.1
Manes.06G172600	AT1G56070.1	3.6.5.3
Manes.06G142400	AT5G51970.2	1.1.1.140
Manes.16G016400	AT1G61720.1	1.3.1.77
Manes.02G110200	AT4G35830.1	4.2.1.3
Manes.18G018400	AT4G39090.1	3.4.22.41
Manes.17G026300	AT1G11840.6	4.4.1.5
Manes.18G125800	AT5G41700.3	6.3.2.19
Manes.09G145900	AT5G33370.1	3.1.1.3
Manes.01G108000	AT3G25780.1	5.3.99.6
Manes.03G060000	AT2G25760.1	2.7.11.1
