id_manihot,id_arabidopsis,EC,KO,log2_fold_change,valor_p_ajustado
Manes.02G189600,AT2G38470.1,0,K13424,29.999853851393198,4.15005629653773e-15
Manes.15G089100,AT3G15220.1,2.7.11.1,K08838,28.1261605809535,1.1388964675786298e-24
Manes.02G151400,AT1G22360.1,2.4.1.324,0,27.431785209757,8.496695690434889e-10
Manes.08G029900,AT2G47140.1,1.1.1.331,0,26.9327887024971,1.21138866359468e-06
Manes.05G140600,AT2G38010.1,3.5.1.23,K12349,25.6691579943395,0.00251515662789515
Manes.01G195300,AT1G70150.1,0,K24081,24.841773499587898,6.8086962436282e-12
Manes.18G059800,AT5G49700.1,0,0,24.7705980018791,9.53465790594916e-07
Manes.14G015600,AT1G79080.1,0,0,24.7544242373593,0.000209998087395402
Manes.13G038200,AT1G04140.1,0,0,23.7509734214158,3.00354863785572e-06
Manes.06G094100,AT3G47640.2,0,0,23.705997239865102,4.10668989381755e-07
Manes.03G060700,AT2G25870.1,0,0,23.3141362632023,1.37662375433952e-06
Manes.15G152500,AT5G14420.4,0,K16280,22.5049330307494,7.62176725777795e-07
Manes.09G163800,AT5G27400.1,0,K22696,21.5332723764744,5.350608952438211e-07
Manes.16G060500,AT5G44800.1,3.6.4.12,0,20.6707670974648,2.44116339969117e-10
Manes.15G016500,AT5G18660.1,1.3.1.75,K19073,19.777497228671898,1.9748668188529398e-08
Manes.01G059400,AT1G63670.1,0,0,18.6536882076423,5.70505113358239e-06
Manes.15G192200,AT1G32160.1,0,0,13.584153034003501,0.000143252231615497
Manes.03G113400,AT3G15470.1,0,K20241,12.982562141446099,8.496695690434889e-10
Manes.08G067300,AT3G56810.1,0,0,12.742713599619698,0.00376581572393325
Manes.04G093100,AT5G13960.1,2.1.1.43,0,12.6001453968047,1.7969031150910798e-09
Manes.01G204300,AT3G63340.1,3.1.3.16,0,12.573179863873198,0.000199176801311126
Manes.06G076800,AT3G57030.1,4.3.3.2,K21407,12.546891502867501,4.18231111525098e-08
